KeySize,Format,Mode,File,Encryption_Time,Decryption_Time
128,DER,ECB,1KB.txt,1.922,0.88
128,DER,ECB,1KB.txt,0.275,0.248
128,DER,ECB,1KB.txt,0.246,0.284
128,DER,ECB,1KB.txt,0.22,0.285
128,DER,ECB,1KB.txt,0.255,0.257
128,DER,ECB,1KB.txt,0.263,0.25
128,DER,ECB,1KB.txt,0.227,0.272
128,DER,ECB,1KB.txt,0.217,0.243
128,DER,ECB,1KB.txt,0.26,0.217
128,DER,ECB,1KB.txt,0.201,0.221
128,DER,ECB,1KB.txt,0.219,0.253
128,DER,ECB,1KB.txt,0.238,0.216
128,DER,ECB,1KB.txt,0.215,0.282
128,DER,ECB,1KB.txt,0.23,0.231
128,DER,ECB,1KB.txt,0.243,0.25
128,DER,ECB,1KB.txt,0.248,0.409
128,DER,ECB,1KB.txt,0.273,0.249
128,DER,ECB,1KB.txt,0.279,0.237
128,DER,ECB,1KB.txt,0.24,0.246
128,DER,ECB,1KB.txt,0.21,0.306
128,DER,ECB,1KB.txt,0.246,0.225
128,DER,ECB,1KB.txt,0.284,0.221
128,DER,ECB,1KB.txt,0.223,0.273
128,DER,ECB,1KB.txt,0.214,0.223
128,DER,ECB,1KB.txt,0.234,0.233
128,DER,ECB,1KB.txt,0.23,0.253
128,DER,ECB,1MB.txt,3.665,2.121
128,DER,ECB,1MB.txt,1.924,1.709
128,DER,ECB,1MB.txt,5.282,1.595
128,DER,ECB,1MB.txt,1.639,1.699
128,DER,ECB,1MB.txt,1.581,1.859
128,DER,ECB,1MB.txt,1.604,2.216
128,DER,ECB,1MB.txt,1.759,1.824
128,DER,ECB,1MB.txt,1.644,1.885
128,DER,ECB,1MB.txt,2.142,3.194
128,DER,ECB,1MB.txt,1.652,1.834
128,DER,ECB,1MB.txt,2.417,1.959
128,DER,ECB,1MB.txt,1.627,1.694
128,DER,ECB,1MB.txt,1.612,1.588
128,DER,ECB,1MB.txt,19.817,2.256
128,DER,ECB,1MB.txt,1.611,1.554
128,DER,ECB,1MB.txt,1.758,1.678
128,DER,ECB,1MB.txt,1.613,1.742
128,DER,ECB,1MB.txt,1.542,1.834
128,DER,ECB,1MB.txt,1.721,2.098
128,DER,ECB,1MB.txt,1.66,1.828
128,DER,ECB,1MB.txt,1.536,1.883
128,DER,ECB,1MB.txt,1.514,1.744
128,DER,ECB,1MB.txt,1.606,1.554
128,DER,ECB,1MB.txt,1.575,1.484
128,DER,ECB,1MB.txt,1.566,1.596
128,DER,ECB,1MB.txt,1.536,1.533
128,DER,ECB,256KB.txt,2.848,0.973
128,DER,ECB,256KB.txt,0.599,0.614
128,DER,ECB,256KB.txt,0.593,0.628
128,DER,ECB,256KB.txt,0.582,0.646
128,DER,ECB,256KB.txt,0.698,0.681
128,DER,ECB,256KB.txt,0.595,0.998
128,DER,ECB,256KB.txt,0.923,0.604
128,DER,ECB,256KB.txt,0.811,0.634
128,DER,ECB,256KB.txt,0.95,0.66
128,DER,ECB,256KB.txt,0.906,0.853
128,DER,ECB,256KB.txt,1.125,1.91
128,DER,ECB,256KB.txt,0.616,0.576
128,DER,ECB,256KB.txt,0.591,0.572
128,DER,ECB,256KB.txt,0.575,0.603
128,DER,ECB,256KB.txt,0.598,0.617
128,DER,ECB,256KB.txt,0.606,0.591
128,DER,ECB,256KB.txt,0.581,0.629
128,DER,ECB,256KB.txt,0.67,0.699
128,DER,ECB,256KB.txt,0.617,0.586
128,DER,ECB,256KB.txt,0.67,0.661
128,DER,ECB,256KB.txt,0.755,0.62
128,DER,ECB,256KB.txt,0.644,0.87
128,DER,ECB,256KB.txt,0.582,0.782
128,DER,ECB,256KB.txt,0.638,0.68
128,DER,ECB,256KB.txt,0.67,0.575
128,DER,ECB,256KB.txt,0.711,0.737
128,DER,ECB,512KB.txt,2.838,1.111
128,DER,ECB,512KB.txt,0.905,0.921
128,DER,ECB,512KB.txt,0.968,1.029
128,DER,ECB,512KB.txt,0.947,0.95
128,DER,ECB,512KB.txt,0.971,0.856
128,DER,ECB,512KB.txt,0.908,0.943
128,DER,ECB,512KB.txt,1.034,0.915
128,DER,ECB,512KB.txt,1.19,0.872
128,DER,ECB,512KB.txt,1.04,1.043
128,DER,ECB,512KB.txt,0.989,1.053
128,DER,ECB,512KB.txt,0.979,1.047
128,DER,ECB,512KB.txt,0.958,0.937
128,DER,ECB,512KB.txt,0.942,0.864
128,DER,ECB,512KB.txt,0.901,1.055
128,DER,ECB,512KB.txt,0.973,1.093
128,DER,ECB,512KB.txt,0.934,0.914
128,DER,ECB,512KB.txt,0.917,0.899
128,DER,ECB,512KB.txt,0.955,0.88
128,DER,ECB,512KB.txt,0.91,0.841
128,DER,ECB,512KB.txt,0.935,0.893
128,DER,ECB,512KB.txt,0.93,0.896
128,DER,ECB,512KB.txt,0.888,0.866
128,DER,ECB,512KB.txt,0.904,0.865
128,DER,ECB,512KB.txt,0.975,1.589
128,DER,ECB,512KB.txt,0.925,0.824
128,DER,ECB,512KB.txt,0.972,0.869
128,DER,ECB,16MB.txt,43.403,23.45
128,DER,ECB,16MB.txt,24.346,23.407
128,DER,ECB,16MB.txt,104.126,27.137
128,DER,ECB,16MB.txt,31.243,24.061
128,DER,ECB,16MB.txt,26.761,26.032
128,DER,ECB,16MB.txt,31.592,23.842
128,DER,ECB,16MB.txt,24.479,23.708
128,DER,ECB,16MB.txt,24.226,23.995
128,DER,ECB,16MB.txt,39.247,22.905
128,DER,ECB,16MB.txt,24.446,22.707
128,DER,ECB,16MB.txt,24.525,29.287
128,DER,ECB,16MB.txt,32.349,24.351
128,DER,ECB,16MB.txt,23.754,26.137
128,DER,ECB,16MB.txt,25.806,29.679
128,DER,ECB,16MB.txt,31.597,23.112
128,DER,ECB,16MB.txt,26.882,23.363
128,DER,ECB,16MB.txt,30.235,28.754
128,DER,ECB,16MB.txt,23.631,23.062
128,DER,ECB,16MB.txt,24.304,22.912
128,DER,ECB,16MB.txt,25.627,23.624
128,DER,ECB,16MB.txt,22.764,22.351
128,DER,ECB,16MB.txt,23.78,23.629
128,DER,ECB,16MB.txt,23.113,26.595
128,DER,ECB,16MB.txt,23.651,28.499
128,DER,ECB,16MB.txt,23.392,24.228
128,DER,ECB,16MB.txt,26.016,27.013
128,DER,ECB,8MB.txt,17.194,11.355
128,DER,ECB,8MB.txt,11.965,11.198
128,DER,ECB,8MB.txt,12.972,12.426
128,DER,ECB,8MB.txt,11.262,11.503
128,DER,ECB,8MB.txt,11.222,10.97
128,DER,ECB,8MB.txt,12.371,11.945
128,DER,ECB,8MB.txt,17.067,11.395
128,DER,ECB,8MB.txt,13.598,12.189
128,DER,ECB,8MB.txt,10.795,11.63
128,DER,ECB,8MB.txt,16.747,11.307
128,DER,ECB,8MB.txt,18.038,10.646
128,DER,ECB,8MB.txt,10.866,11.704
128,DER,ECB,8MB.txt,11.452,11.066
128,DER,ECB,8MB.txt,11.179,10.847
128,DER,ECB,8MB.txt,11.235,14.64
128,DER,ECB,8MB.txt,11.032,11.106
128,DER,ECB,8MB.txt,11.19,10.966
128,DER,ECB,8MB.txt,11.326,10.73
128,DER,ECB,8MB.txt,10.963,11.044
128,DER,ECB,8MB.txt,11.572,10.775
128,DER,ECB,8MB.txt,10.932,10.647
128,DER,ECB,8MB.txt,10.987,10.951
128,DER,ECB,8MB.txt,19.756,10.656
128,DER,ECB,8MB.txt,10.972,10.982
128,DER,ECB,8MB.txt,11.507,10.757
128,DER,ECB,8MB.txt,11.638,11.804
128,DER,CBC,1KB.txt,0.369,0.544
128,DER,CBC,1KB.txt,0.739,0.254
128,DER,CBC,1KB.txt,0.258,0.3
128,DER,CBC,1KB.txt,0.264,0.236
128,DER,CBC,1KB.txt,0.284,0.248
128,DER,CBC,1KB.txt,0.228,0.276
128,DER,CBC,1KB.txt,0.266,0.251
128,DER,CBC,1KB.txt,0.269,0.259
128,DER,CBC,1KB.txt,0.235,0.291
128,DER,CBC,1KB.txt,0.246,0.246
128,DER,CBC,1KB.txt,0.271,0.234
128,DER,CBC,1KB.txt,0.295,0.253
128,DER,CBC,1KB.txt,0.226,0.272
128,DER,CBC,1KB.txt,0.255,0.252
128,DER,CBC,1KB.txt,0.282,0.218
128,DER,CBC,1KB.txt,0.237,0.247
