Format,Mode,File,Encryption_Time,Decryption_Time
DER,ECB,1KB.txt,2.86,2.457
DER,ECB,1KB.txt,8.678,1.902
DER,ECB,1KB.txt,3.963,2.549
DER,ECB,1KB.txt,1.759,1.606
DER,ECB,1KB.txt,4.529,1.701
DER,ECB,1KB.txt,1.709,2.277
DER,ECB,1KB.txt,2.451,1.949
DER,ECB,1KB.txt,2.6,1.783
DER,ECB,1KB.txt,2.882,2.16
DER,ECB,1KB.txt,1.728,1.783
DER,ECB,1KB.txt,2.523,3.115
DER,ECB,1KB.txt,2.667,1.511
DER,ECB,1KB.txt,1.935,2.28
DER,ECB,1KB.txt,4.186,3.052
DER,ECB,1KB.txt,3.349,2.59
DER,ECB,1KB.txt,2.518,2.277
DER,ECB,1KB.txt,2.253,3.191
DER,ECB,1KB.txt,1.447,2.104
DER,ECB,1KB.txt,2.734,2.946
DER,ECB,1KB.txt,2.196,2.202
DER,ECB,1KB.txt,2.451,1.478
DER,ECB,1KB.txt,2.276,2.051
DER,ECB,1KB.txt,2.314,2.642
DER,ECB,1KB.txt,2.239,2.178
DER,ECB,1KB.txt,2.259,2.219
DER,ECB,1KB.txt,2.19,2.126
DER,ECB,1KB.txt,2.398,2.273
DER,ECB,1KB.txt,2.22,2.812
DER,ECB,1KB.txt,2.159,4.007
DER,ECB,1KB.txt,2.089,2.927
DER,ECB,1KB.txt,2.45,2.888
DER,ECB,1KB.txt,2.188,2.448
DER,ECB,1KB.txt,2.162,2.134
DER,ECB,1KB.txt,1.365,1.736
DER,ECB,1KB.txt,2.267,2.332
DER,ECB,1KB.txt,2.145,2.055
DER,ECB,1KB.txt,2.262,2.98
DER,ECB,1KB.txt,2.465,2.142
DER,ECB,1KB.txt,2.202,2.671
DER,ECB,1KB.txt,5,5.509
DER,ECB,1KB.txt,2.633,3.012
DER,ECB,1KB.txt,2.538,2.35
DER,ECB,1KB.txt,2.639,1.842
DER,ECB,1KB.txt,2.294,1.455
DER,ECB,1KB.txt,1.93,2.447
DER,ECB,1KB.txt,3.464,1.518
DER,ECB,1KB.txt,1.768,2.353
DER,ECB,1KB.txt,2.611,2.128
DER,ECB,1KB.txt,2.06,2.299
DER,ECB,1KB.txt,2.597,1.753
DER,ECB,1KB.txt,1.449,2.131
DER,ECB,1KB.txt,2.379,2.291
DER,ECB,1KB.txt,2.838,2.065
DER,ECB,1KB.txt,2.8,2.114
DER,ECB,1KB.txt,2.428,1.433
DER,ECB,1KB.txt,2.536,1.542
DER,ECB,1KB.txt,2.33,3.027
DER,ECB,1KB.txt,2.919,2.262
DER,ECB,1KB.txt,2.58,2.37
DER,ECB,1KB.txt,2.354,1.838
DER,ECB,1KB.txt,2.476,2.262
DER,ECB,1KB.txt,2.568,2.195
DER,ECB,1KB.txt,2.204,2.578
DER,ECB,1KB.txt,2.237,2.503
DER,ECB,1KB.txt,2.219,2.179
DER,ECB,1KB.txt,2.636,5.377
DER,ECB,1KB.txt,2.391,1.487
DER,ECB,1KB.txt,1.453,1.293
DER,ECB,1KB.txt,2.504,1.287
DER,ECB,1KB.txt,2.605,2.144
DER,ECB,1KB.txt,2.707,2.064
DER,ECB,1KB.txt,2.242,2.268
DER,ECB,1KB.txt,2.262,2.205
DER,ECB,1KB.txt,2.695,2.098
DER,ECB,1KB.txt,2.265,2.297
DER,ECB,1KB.txt,2.341,2.421
DER,ECB,1KB.txt,2.459,2.622
DER,ECB,1KB.txt,2.258,5.397
DER,ECB,1KB.txt,3.363,2.083
DER,ECB,1KB.txt,3.195,2.66
DER,ECB,1KB.txt,2,2.522
DER,ECB,1KB.txt,1.422,2.127
DER,ECB,1KB.txt,2.905,2.426
DER,ECB,1KB.txt,2.455,2.549
DER,ECB,1KB.txt,2.599,2.059
DER,ECB,1KB.txt,2.869,2.54
DER,ECB,1KB.txt,3.272,2.558
DER,ECB,1KB.txt,5.117,3.695
DER,ECB,1KB.txt,3.36,2.741
DER,ECB,1KB.txt,1.391,2.346
DER,ECB,1KB.txt,1.457,2.1
DER,ECB,1KB.txt,2.414,2.44
DER,ECB,1KB.txt,2.795,1.96
DER,ECB,1KB.txt,2.474,1.586
DER,ECB,1KB.txt,2.705,2.526
DER,ECB,1KB.txt,2.397,2.235
DER,ECB,1KB.txt,2.245,2.343
DER,ECB,1KB.txt,7.432,2.136
DER,ECB,1KB.txt,1.671,3.165
DER,ECB,1KB.txt,2.312,6.149
DER,ECB,1KB.txt,2.759,2.729
DER,ECB,1KB.txt,3.819,2.124
DER,ECB,1KB.txt,2.211,2.012
DER,ECB,1KB.txt,2.45,1.96
DER,ECB,1KB.txt,2.285,2.385
DER,ECB,1KB.txt,2.162,1.853
DER,ECB,1KB.txt,2.69,2.077
DER,ECB,1KB.txt,2.836,2.935
DER,ECB,1KB.txt,2.623,2.403
DER,ECB,1KB.txt,2.361,2.076
DER,ECB,1KB.txt,2.619,1.994
DER,ECB,1KB.txt,2.241,1.963
DER,ECB,1MB.txt,32.677,34.14
DER,ECB,1MB.txt,32.448,33.322
DER,ECB,1MB.txt,32.512,33.144
DER,ECB,1MB.txt,33.803,36.069
DER,ECB,1MB.txt,32.144,35.501
DER,ECB,1MB.txt,30.307,33.539
DER,ECB,1MB.txt,37.323,31.499
DER,ECB,1MB.txt,35.373,34.271
DER,ECB,1MB.txt,33.116,33.835
DER,ECB,1MB.txt,33.455,33.398
DER,ECB,1MB.txt,33.736,32.515
DER,ECB,1MB.txt,32.879,33.988
DER,ECB,1MB.txt,33.815,30.245
DER,ECB,1MB.txt,33.893,32.595
DER,ECB,1MB.txt,34.851,30.96
DER,ECB,1MB.txt,33.291,32.732
DER,ECB,1MB.txt,32.122,35.581
DER,ECB,1MB.txt,32.359,33.197
DER,ECB,1MB.txt,33.626,32.242
DER,ECB,1MB.txt,32.1,35.867
DER,ECB,1MB.txt,32.714,31.944
DER,ECB,1MB.txt,32.354,32.686
DER,ECB,1MB.txt,32.473,34.521
DER,ECB,1MB.txt,33.136,32.735
DER,ECB,1MB.txt,36,32.604
DER,ECB,1MB.txt,34.825,34.936
DER,ECB,1MB.txt,38.338,33.894
DER,ECB,1MB.txt,36.947,35.685
DER,ECB,1MB.txt,39.105,42.158
DER,ECB,1MB.txt,45.942,49.517
DER,ECB,1MB.txt,41.185,34.868
DER,ECB,1MB.txt,35.263,43.089
DER,ECB,1MB.txt,40.434,40.106
DER,ECB,1MB.txt,33.089,35.025
DER,ECB,1MB.txt,43.937,49.688
DER,ECB,1MB.txt,63.646,61.893
DER,ECB,1MB.txt,36.852,33.468
DER,ECB,1MB.txt,34.111,34.296
DER,ECB,1MB.txt,32.602,31.894
DER,ECB,1MB.txt,37.504,46.821
DER,ECB,1MB.txt,34.41,31.918
DER,ECB,1MB.txt,36.099,29.941
DER,ECB,1MB.txt,38.202,35.749
DER,ECB,1MB.txt,32.279,35.573
DER,ECB,1MB.txt,33.095,31.644
DER,ECB,1MB.txt,34.63,34.743
DER,ECB,1MB.txt,31.332,33.954
DER,ECB,1MB.txt,34.166,39.984
DER,ECB,1MB.txt,47.958,40.312
DER,ECB,1MB.txt,39.495,38.624
DER,ECB,1MB.txt,35.639,39.413
DER,ECB,1MB.txt,38.992,41.263
DER,ECB,1MB.txt,52.999,39.43
DER,ECB,1MB.txt,80.706,33.856
DER,ECB,1MB.txt,32.444,39.416
DER,ECB,1MB.txt,34.65,34.01
DER,ECB,1MB.txt,35.693,36.16
DER,ECB,1MB.txt,36.803,33.969
DER,ECB,1MB.txt,34.878,32.941
DER,ECB,1MB.txt,52.202,52.862
DER,ECB,1MB.txt,40.798,37.178
DER,ECB,1MB.txt,41.34,33.426
DER,ECB,1MB.txt,43.105,34.597
DER,ECB,1MB.txt,35.502,36.39
DER,ECB,1MB.txt,44.74,39.041
DER,ECB,1MB.txt,38.164,33.009
DER,ECB,1MB.txt,42.256,44.347
DER,ECB,1MB.txt,36.932,33.722
DER,ECB,1MB.txt,35.65,35.231
DER,ECB,1MB.txt,52.327,38.744
DER,ECB,1MB.txt,39.214,34.123
DER,ECB,1MB.txt,32.798,34.712
DER,ECB,1MB.txt,34.829,39.276
DER,ECB,1MB.txt,32.717,34.01
DER,ECB,1MB.txt,35.571,34.91
DER,ECB,1MB.txt,36.204,35.541
DER,ECB,1MB.txt,36.915,32.143
DER,ECB,1MB.txt,33.973,35.279
DER,ECB,1MB.txt,35.203,32.312
DER,ECB,1MB.txt,32.321,35.605
DER,ECB,1MB.txt,36.061,29.303
DER,ECB,1MB.txt,36.637,49.553
DER,ECB,1MB.txt,34.826,32.404
DER,ECB,1MB.txt,41.476,34.441
DER,ECB,1MB.txt,37.857,34.39
DER,ECB,1MB.txt,39.056,37.773
DER,ECB,1MB.txt,36.882,36.811
DER,ECB,1MB.txt,35.693,39.041
DER,ECB,1MB.txt,39.058,34.236
DER,ECB,1MB.txt,35.244,34.638
DER,ECB,1MB.txt,33.139,32.292
DER,ECB,1MB.txt,33.875,32.808
DER,ECB,1MB.txt,30.12,29.579
DER,ECB,1MB.txt,33.679,31.719
DER,ECB,1MB.txt,33.742,34.75
DER,ECB,1MB.txt,31.834,37.5
DER,ECB,1MB.txt,32.862,34.531
DER,ECB,1MB.txt,36.815,32.819
DER,ECB,1MB.txt,31.78,31.37
DER,ECB,1MB.txt,32.307,32.76
DER,ECB,1MB.txt,32.271,33.036
DER,ECB,1MB.txt,36.557,37.718
DER,ECB,1MB.txt,34.418,32.552
DER,ECB,1MB.txt,31.75,33.734
DER,ECB,1MB.txt,51.505,50.131
DER,ECB,1MB.txt,32.907,35.078
DER,ECB,1MB.txt,34.757,37.109
DER,ECB,1MB.txt,38.548,38.074
DER,ECB,1MB.txt,42.645,30.372
DER,ECB,1MB.txt,44.091,29.026
DER,ECB,1MB.txt,35.709,43.423
DER,ECB,1MB.txt,35.463,46.325
DER,ECB,256KB.txt,10.814,14.124
DER,ECB,256KB.txt,15.662,13.353
DER,ECB,256KB.txt,13.545,7.423
DER,ECB,256KB.txt,14.33,9.009
DER,ECB,256KB.txt,9.394,10.2
DER,ECB,256KB.txt,9.958,13.65
DER,ECB,256KB.txt,6.846,7.832
DER,ECB,256KB.txt,10.686,9.159
DER,ECB,256KB.txt,13.472,12.438
DER,ECB,256KB.txt,14.217,9.186
DER,ECB,256KB.txt,12.556,8.834
DER,ECB,256KB.txt,8.712,8.453
DER,ECB,256KB.txt,9.969,13.424
DER,ECB,256KB.txt,13.09,15.886
DER,ECB,256KB.txt,17.845,13.667
DER,ECB,256KB.txt,26.151,7.181
DER,ECB,256KB.txt,7.138,10.006
DER,ECB,256KB.txt,11.467,8.045
DER,ECB,256KB.txt,15.878,13.357
DER,ECB,256KB.txt,18.746,10.993
DER,ECB,256KB.txt,10.371,10.277
DER,ECB,256KB.txt,7.986,11.022
DER,ECB,256KB.txt,10.694,9.118
DER,ECB,256KB.txt,12.138,10.913
DER,ECB,256KB.txt,11.517,12.743
DER,ECB,256KB.txt,11.86,12.371
DER,ECB,256KB.txt,12.892,6.911
DER,ECB,256KB.txt,6.149,12.143
DER,ECB,256KB.txt,12.421,11.125
DER,ECB,256KB.txt,12.705,11.182
DER,ECB,256KB.txt,14.868,12.723
DER,ECB,256KB.txt,10.529,9.544
DER,ECB,256KB.txt,9.935,10.503
DER,ECB,256KB.txt,8.952,11.743
DER,ECB,256KB.txt,15.27,12.052
DER,ECB,256KB.txt,10.878,9.522
DER,ECB,256KB.txt,11.209,9.608
DER,ECB,256KB.txt,9.73,9.223
DER,ECB,256KB.txt,9.93,9.392
DER,ECB,256KB.txt,10.022,9.881
DER,ECB,256KB.txt,11.094,13.041
DER,ECB,256KB.txt,10.755,14.732
DER,ECB,256KB.txt,10.749,14.34
DER,ECB,256KB.txt,12.254,12.024
DER,ECB,256KB.txt,11.555,11.044
DER,ECB,256KB.txt,12.582,10.871
DER,ECB,256KB.txt,12.476,9.448
DER,ECB,256KB.txt,10.051,9.414
DER,ECB,256KB.txt,9.166,10.081
DER,ECB,256KB.txt,10.209,9.19
DER,ECB,256KB.txt,9.55,9.969
DER,ECB,256KB.txt,10.565,10.322
DER,ECB,256KB.txt,10.174,9.867
DER,ECB,256KB.txt,10.765,9.759
DER,ECB,256KB.txt,10.543,10.075
DER,ECB,256KB.txt,9.117,9.421
DER,ECB,256KB.txt,17.654,13.011
DER,ECB,256KB.txt,12.078,10.657
DER,ECB,256KB.txt,10.559,9.974
DER,ECB,256KB.txt,9.775,8.92
DER,ECB,256KB.txt,10.04,12.205
DER,ECB,256KB.txt,13.129,9.518
DER,ECB,256KB.txt,13.748,31.72
DER,ECB,256KB.txt,20.87,16.957
