Format,Mode,File,Encryption_Time,Decryption_Time
DER,ECB,16MB.txt,249.244,259.173
DER,ECB,16MB.txt,296.044,249.507
DER,ECB,16MB.txt,255.597,246.437
DER,ECB,16MB.txt,271.16,264.908
DER,ECB,16MB.txt,247.587,256.557
DER,ECB,16MB.txt,293.458,229.96
DER,ECB,16MB.txt,265.82,271.698
DER,ECB,16MB.txt,297.377,256.835
DER,ECB,16MB.txt,265.237,249.949
DER,ECB,16MB.txt,251.988,268.522
DER,ECB,16MB.txt,248.918,266.116
DER,ECB,16MB.txt,257.366,227.211
DER,ECB,16MB.txt,245.149,240.557
DER,ECB,16MB.txt,265.276,221.344
DER,ECB,16MB.txt,232.038,267.053
DER,ECB,16MB.txt,259.645,253.464
DER,ECB,16MB.txt,252.695,225.152
DER,ECB,16MB.txt,225.636,250.539
DER,ECB,16MB.txt,255.158,254.284
DER,ECB,16MB.txt,281.457,224.766
DER,ECB,16MB.txt,259.98,314.847
DER,ECB,16MB.txt,273.039,256.435
DER,ECB,16MB.txt,248.133,213.05
DER,ECB,16MB.txt,247.358,250.492
DER,ECB,16MB.txt,289.484,300.696
DER,ECB,16MB.txt,242.141,209.376
DER,ECB,16MB.txt,265.147,251.585
DER,ECB,16MB.txt,247.679,242.829
DER,ECB,16MB.txt,255.055,243.021
DER,ECB,16MB.txt,251.26,284.486
DER,ECB,16MB.txt,279.481,253.84
DER,ECB,16MB.txt,245.93,219.072
DER,ECB,16MB.txt,238.258,271.931
DER,ECB,16MB.txt,282.819,284.732
DER,ECB,16MB.txt,247.506,254.145
DER,ECB,16MB.txt,273.681,270.486
DER,ECB,16MB.txt,293.717,274.59
DER,ECB,16MB.txt,220.885,243.854
DER,ECB,16MB.txt,240.225,249.706
DER,ECB,16MB.txt,269.18,254.86
DER,ECB,16MB.txt,236.969,242.686
DER,ECB,16MB.txt,234.237,259.049
DER,ECB,16MB.txt,255.322,245.671
DER,ECB,16MB.txt,263.639,242.335
DER,ECB,16MB.txt,253.626,269.154
DER,ECB,16MB.txt,282.07,283.634
DER,ECB,16MB.txt,238.026,251.79
DER,ECB,16MB.txt,225.171,238.91
DER,ECB,16MB.txt,254.958,237.343
DER,ECB,16MB.txt,265.828,200.473
DER,ECB,16MB.txt,234.198,232.799
DER,ECB,16MB.txt,258.868,261.198
DER,ECB,16MB.txt,228.702,241.691
DER,ECB,16MB.txt,222.805,239.515
DER,ECB,16MB.txt,257.657,255.388
DER,ECB,16MB.txt,258.9,238.463
DER,ECB,16MB.txt,243.087,304.075
DER,ECB,16MB.txt,255.777,264.734
DER,ECB,16MB.txt,230.802,248.54
DER,ECB,16MB.txt,214.925,248.255
DER,ECB,16MB.txt,279.764,266.92
DER,ECB,16MB.txt,247.234,230.452
DER,ECB,16MB.txt,237.06,230.083
DER,ECB,16MB.txt,246.368,286.244
DER,ECB,16MB.txt,245.752,226.199
DER,ECB,16MB.txt,262.083,236.713
DER,ECB,16MB.txt,265.362,250.072
DER,ECB,16MB.txt,244.678,236.307
DER,ECB,16MB.txt,235.727,260.949
DER,ECB,16MB.txt,223.602,239.933
DER,ECB,16MB.txt,252.136,254.32
DER,ECB,16MB.txt,228.593,244.574
DER,ECB,16MB.txt,225.285,226.429
DER,ECB,16MB.txt,233.6,252.941
DER,ECB,16MB.txt,223.672,245.375
DER,ECB,16MB.txt,210.101,208.965
DER,ECB,16MB.txt,241.527,250.66
DER,ECB,16MB.txt,232.706,220.524
DER,ECB,16MB.txt,232.87,223.149
DER,ECB,16MB.txt,244.727,247.212
DER,ECB,16MB.txt,247.795,235.246
DER,ECB,16MB.txt,212.907,207.958
DER,ECB,16MB.txt,275.728,251.175
DER,ECB,16MB.txt,276.45,253.99
DER,ECB,16MB.txt,218.951,216.011
DER,ECB,16MB.txt,215.017,240.333
DER,ECB,16MB.txt,271.868,268.193
DER,ECB,16MB.txt,263.374,231.062
DER,ECB,16MB.txt,228.333,229.295
DER,ECB,16MB.txt,281.749,270.558
DER,ECB,16MB.txt,249.979,214.947
DER,ECB,16MB.txt,255.219,278.818
DER,ECB,16MB.txt,282.781,260.837
DER,ECB,16MB.txt,230.358,266.753
DER,ECB,16MB.txt,228.315,237.232
DER,ECB,16MB.txt,295.632,243.647
DER,ECB,16MB.txt,263.29,243.425
DER,ECB,16MB.txt,238.031,308.207
DER,ECB,16MB.txt,301.194,269.609
DER,ECB,16MB.txt,266.855,233.419
DER,ECB,16MB.txt,275.204,307.006
DER,ECB,16MB.txt,258.95,236.821
DER,ECB,16MB.txt,248.869,247.662
DER,ECB,16MB.txt,285.463,284.091
DER,ECB,16MB.txt,240.199,221.145
DER,ECB,16MB.txt,206.802,265.777
DER,ECB,16MB.txt,246.772,242.771
DER,ECB,16MB.txt,257.613,239.214
DER,ECB,16MB.txt,214.312,231.737
DER,ECB,16MB.txt,261.213,267.725
DER,ECB,16MB.txt,254.926,249.174
DER,ECB,16MB.txt,261.643,242.941
DER,ECB,1KB.txt,3.474,1.262
DER,ECB,1KB.txt,1.591,1.086
DER,ECB,1KB.txt,1.416,1.323
DER,ECB,1KB.txt,1.191,1.441
DER,ECB,1KB.txt,1.22,1.037
DER,ECB,1KB.txt,1.273,1.232
DER,ECB,1KB.txt,1.325,1.227
DER,ECB,1KB.txt,0.895,1.128
DER,ECB,1KB.txt,0.826,1.274
DER,ECB,1KB.txt,1.151,1.411
DER,ECB,1KB.txt,1.183,1.293
DER,ECB,1KB.txt,1.408,1.102
DER,ECB,1KB.txt,1.039,1.529
DER,ECB,1KB.txt,1.13,1.609
DER,ECB,1KB.txt,1.207,1.47
DER,ECB,1KB.txt,1.022,1.144
DER,ECB,1KB.txt,1.016,1.033
DER,ECB,1KB.txt,1.105,1.236
DER,ECB,1KB.txt,1.042,1.16
DER,ECB,1KB.txt,1.072,1.098
DER,ECB,1KB.txt,0.933,1.134
DER,ECB,1KB.txt,0.833,1.392
DER,ECB,1KB.txt,1.732,1.237
DER,ECB,1KB.txt,0.997,1.231
DER,ECB,1KB.txt,0.968,1.232
DER,ECB,1KB.txt,1.241,1.077
DER,ECB,1KB.txt,1.454,1.322
DER,ECB,1KB.txt,1.17,1.182
DER,ECB,1KB.txt,0.912,7.061
DER,ECB,1KB.txt,1.856,1.189
DER,ECB,1KB.txt,1.186,1.088
DER,ECB,1KB.txt,1.229,50.412
DER,ECB,1KB.txt,1.209,1.182
DER,ECB,1KB.txt,1.256,1.364
DER,ECB,1KB.txt,1.042,1.228
DER,ECB,1KB.txt,1.108,1.075
DER,ECB,1KB.txt,1.02,1.04
DER,ECB,1KB.txt,1.181,9.623
DER,ECB,1KB.txt,1.013,1.025
DER,ECB,1KB.txt,1.093,1.347
DER,ECB,1KB.txt,1.274,1.07
DER,ECB,1KB.txt,1.053,1.248
DER,ECB,1KB.txt,1.095,1.245
DER,ECB,1KB.txt,1.451,1.364
DER,ECB,1KB.txt,33.4,30.031
DER,ECB,1KB.txt,0.978,33.526
DER,ECB,1KB.txt,0.882,33.56
DER,ECB,1KB.txt,1.303,1.507
DER,ECB,1KB.txt,0.962,1.156
DER,ECB,1KB.txt,1.581,5.029
DER,ECB,1KB.txt,73.835,1.571
DER,ECB,1KB.txt,1.128,1.244
DER,ECB,1KB.txt,1.459,1.265
DER,ECB,1KB.txt,0.903,1.001
DER,ECB,1KB.txt,0.867,1.147
DER,ECB,1KB.txt,1.385,1.23
DER,ECB,1KB.txt,1.234,1.197
DER,ECB,1KB.txt,1.1,1.242
DER,ECB,1KB.txt,1.718,1.372
DER,ECB,1KB.txt,1.081,1.579
DER,ECB,1KB.txt,2.669,1.14
DER,ECB,1KB.txt,1.151,1.411
DER,ECB,1KB.txt,1.14,1.103
DER,ECB,1KB.txt,1.235,1.116
DER,ECB,1KB.txt,0.934,1.143
DER,ECB,1KB.txt,1.577,1.332
DER,ECB,1KB.txt,1.565,1.079
DER,ECB,1KB.txt,0.934,1.573
DER,ECB,1KB.txt,1.101,1.108
DER,ECB,1KB.txt,1.676,1.38
DER,ECB,1KB.txt,1.146,1.159
DER,ECB,1KB.txt,1.082,1.175
DER,ECB,1KB.txt,1.579,1.036
DER,ECB,1KB.txt,0.882,1.214
DER,ECB,1KB.txt,1.022,1.442
DER,ECB,1KB.txt,2.059,1.43
DER,ECB,1KB.txt,1.041,1.098
DER,ECB,1KB.txt,0.969,1.266
DER,ECB,1KB.txt,1.438,1.112
DER,ECB,1KB.txt,0.941,1.134
DER,ECB,1KB.txt,0.938,1.088
DER,ECB,1KB.txt,1.014,1.276
DER,ECB,1KB.txt,0.997,1.229
