Format,Mode,File,Encryption_Time,Decryption_Time
DER,ECB,1KB.txt,0.697,0.311
DER,ECB,1KB.txt,0.323,0.271
DER,ECB,1KB.txt,0.263,0.258
DER,ECB,1KB.txt,0.226,0.264
DER,ECB,1KB.txt,0.26,0.274
DER,ECB,1KB.txt,0.258,0.278
DER,ECB,1KB.txt,0.292,0.264
DER,ECB,1KB.txt,0.23,0.242
DER,ECB,1KB.txt,0.236,0.482
DER,ECB,1KB.txt,0.245,0.244
DER,ECB,1KB.txt,0.285,0.259
DER,ECB,1KB.txt,0.256,0.296
DER,ECB,1KB.txt,0.252,0.289
DER,ECB,1KB.txt,0.295,0.292
DER,ECB,1KB.txt,0.305,0.304
DER,ECB,1KB.txt,0.338,0.284
DER,ECB,1KB.txt,0.291,0.272
DER,ECB,1KB.txt,0.271,0.321
DER,ECB,1KB.txt,0.291,0.268
DER,ECB,1KB.txt,0.274,0.241
DER,ECB,1KB.txt,0.274,0.269
DER,ECB,1KB.txt,0.23,0.268
DER,ECB,1KB.txt,0.413,0.32
DER,ECB,1KB.txt,0.273,0.229
DER,ECB,1KB.txt,0.257,0.232
DER,ECB,1KB.txt,0.222,0.46
DER,ECB,1KB.txt,0.227,0.399
DER,ECB,1KB.txt,1.392,0.24
DER,ECB,1KB.txt,0.237,0.263
DER,ECB,1KB.txt,0.274,0.249
DER,ECB,1KB.txt,0.215,0.272
DER,ECB,1KB.txt,0.281,0.263
DER,ECB,1KB.txt,0.264,0.41
DER,ECB,1KB.txt,0.248,0.254
DER,ECB,1KB.txt,0.281,0.243
DER,ECB,1KB.txt,0.276,0.271
DER,ECB,1KB.txt,0.269,0.29
DER,ECB,1KB.txt,0.242,0.331
DER,ECB,1KB.txt,0.279,0.39
DER,ECB,1KB.txt,0.603,0.449
DER,ECB,1KB.txt,0.355,0.278
DER,ECB,1KB.txt,0.293,0.276
DER,ECB,1KB.txt,0.27,0.308
DER,ECB,1KB.txt,0.242,0.312
DER,ECB,1KB.txt,0.266,0.288
DER,ECB,1KB.txt,0.287,0.283
DER,ECB,1KB.txt,0.305,0.266
DER,ECB,1KB.txt,0.261,0.253
DER,ECB,1KB.txt,0.257,0.279
DER,ECB,1KB.txt,0.237,0.235
DER,ECB,1KB.txt,0.247,0.242
DER,ECB,1KB.txt,0.227,0.253
DER,ECB,1KB.txt,0.218,0.247
DER,ECB,1KB.txt,0.247,0.238
DER,ECB,1KB.txt,0.25,0.269
DER,ECB,1KB.txt,0.255,0.275
DER,ECB,1KB.txt,0.238,0.238
DER,ECB,1KB.txt,0.27,0.26
DER,ECB,1KB.txt,0.248,0.248
DER,ECB,1KB.txt,0.203,0.252
DER,ECB,1KB.txt,0.239,0.218
DER,ECB,1KB.txt,0.216,0.249
DER,ECB,1KB.txt,0.209,0.243
DER,ECB,1KB.txt,0.599,0.306
DER,ECB,1KB.txt,0.253,0.247
DER,ECB,1KB.txt,0.267,0.236
DER,ECB,1KB.txt,0.227,0.246
DER,ECB,1KB.txt,0.217,0.231
DER,ECB,1KB.txt,0.479,0.228
DER,ECB,1KB.txt,0.237,0.518
DER,ECB,1KB.txt,0.219,0.239
DER,ECB,1KB.txt,0.254,0.25
DER,ECB,1KB.txt,0.245,0.285
DER,ECB,1KB.txt,0.226,0.272
DER,ECB,1KB.txt,0.278,0.52
DER,ECB,1KB.txt,0.286,0.232
DER,ECB,1KB.txt,0.249,0.288
