KeySize,File,Encryption_Time,Decryption_Time
128,1KB.txt,10.673,40.936
128,1KB.txt,9.055,13.629
128,1KB.txt,5.438,4.758
128,1KB.txt,4.181,3.92
128,1KB.txt,4.085,5.515
128,1KB.txt,5.814,8.525
128,1KB.txt,5.396,3.961
128,1KB.txt,6.652,5.953
128,1KB.txt,4.738,5.551
128,1KB.txt,5.695,3.883
128,1KB.txt,7.429,7.478
128,1KB.txt,5.491,4.005
128,1KB.txt,3.642,4.304
128,1KB.txt,3.805,5.03
128,1KB.txt,3.71,6.541
128,1KB.txt,7.189,8.107
128,1KB.txt,4.079,5.381
128,1KB.txt,30.192,7.148
128,1KB.txt,11.275,4.993
128,1KB.txt,3.883,6.279
128,1KB.txt,4.596,5.253
128,1KB.txt,4.077,3.858
128,1KB.txt,5.302,9.188
128,1KB.txt,6.316,4.633
128,1KB.txt,6.146,7.26
128,1KB.txt,6.5,7.899
128,1KB.txt,3.978,6.658
128,1KB.txt,6.243,3.644
128,1KB.txt,4.251,3.871
128,1KB.txt,4.193,4.023
128,1KB.txt,6.425,16.488
128,1KB.txt,8.929,4.48
128,1KB.txt,4.715,3.848
128,1KB.txt,3.907,4.833
128,1KB.txt,4.695,5.4
128,1KB.txt,4.452,4.964
128,1KB.txt,4.903,4.784
128,1KB.txt,5.228,3.716
128,1KB.txt,4.571,4.847
128,1KB.txt,4.511,6.156
128,1KB.txt,4.435,4.554
128,1KB.txt,4.333,4.113
128,1KB.txt,8.284,4.61
128,1KB.txt,7.597,4.994
128,1KB.txt,4.122,3.79
128,1KB.txt,3.884,5.934
128,1KB.txt,4.705,6.514
128,1KB.txt,5.169,5.725
128,1KB.txt,4.165,4.948
128,1KB.txt,3.853,3.998
128,1KB.txt,3.957,4.904
128,1KB.txt,9.278,5.327
128,1KB.txt,3.877,4.254
128,1KB.txt,5.227,5.092
128,1KB.txt,3.903,4.035
128,1KB.txt,5.235,5.292
128,1KB.txt,4.011,6.405
128,1KB.txt,6.255,4.668
128,1KB.txt,4.572,3.723
128,1KB.txt,3.835,4.73
128,1KB.txt,5.138,6.307
128,1KB.txt,4.921,4.367
128,1KB.txt,5.999,4.978
128,1KB.txt,3.781,6.599
128,1KB.txt,8.126,6.174
128,1KB.txt,5.626,3.476
128,1KB.txt,5.395,5.642
128,1KB.txt,4.307,6.996
128,1KB.txt,3.936,4.281
128,1KB.txt,3.811,3.788
128,1KB.txt,4.421,3.933
128,1KB.txt,6.05,4.847
128,1KB.txt,5.036,4.069
128,1KB.txt,3.941,4.27
128,1KB.txt,6.445,3.895
128,1KB.txt,3.757,4.082
128,1KB.txt,4.484,3.87
128,1KB.txt,4.322,8.107
128,1KB.txt,4.546,4.649
128,1KB.txt,4.331,4.97
128,1KB.txt,4.266,4.506
128,1KB.txt,9.716,5.644
128,1KB.txt,5.739,4.972
128,1KB.txt,3.876,4.129
128,1KB.txt,3.921,5.015
128,1KB.txt,4.292,3.579
128,1KB.txt,3.925,3.9
128,1KB.txt,3.697,3.903
128,1KB.txt,5.716,3.552
128,1KB.txt,4.02,5.115
128,1KB.txt,3.666,5.574
128,1KB.txt,3.629,3.652
128,1KB.txt,4.263,4.838
128,1KB.txt,3.888,6.104
128,1KB.txt,4.024,4.212
128,1KB.txt,4.638,3.656
128,1KB.txt,3.836,4.119
128,1KB.txt,4.799,3.648
128,1KB.txt,5.181,3.676
128,1KB.txt,6.487,4.823
128,1KB.txt,3.618,3.942
128,1KB.txt,4.957,4.535
128,1KB.txt,4.076,3.788
128,1KB.txt,4.774,3.587
128,1KB.txt,4.713,4.023
128,1KB.txt,4.004,3.866
128,1KB.txt,4.834,3.568
128,1KB.txt,4.179,3.929
128,1KB.txt,4.258,3.666
128,1KB.txt,4.272,3.581
128,1KB.txt,4.498,3.625
128,1KB.txt,4.812,3.587
128,1KB.txt,4.837,3.821
128,1KB.txt,4.215,5.648
128,1KB.txt,3.737,3.918
128,1KB.txt,5.237,5.566
128,1KB.txt,5.381,4.147
128,1KB.txt,3.827,4.475
128,1KB.txt,3.972,4.009
128,1KB.txt,4.988,4.059
128,1KB.txt,4.402,5.715
128,1KB.txt,5.095,5.24
128,1KB.txt,7.91,4.584
128,1KB.txt,4.377,3.76
128,1KB.txt,4.819,3.704
128,1KB.txt,4.095,5.928
128,1KB.txt,4.341,4.295
128,1KB.txt,4.392,4.159
128,1KB.txt,3.864,3.772
128,1KB.txt,4.013,4.597
128,1KB.txt,5.015,3.778
128,1KB.txt,3.895,6.997
128,1KB.txt,4.261,3.988
128,1KB.txt,3.844,3.654
128,1KB.txt,3.561,4.58
128,1KB.txt,3.592,3.992
128,1KB.txt,3.728,4.649
128,1KB.txt,4.209,4.294
128,1KB.txt,3.969,9.193
128,1KB.txt,29.272,9.47
128,1KB.txt,5.251,5.229
128,1KB.txt,7.979,7.546
128,1KB.txt,4.19,5.77
128,1KB.txt,4.305,3.954
128,1KB.txt,5.704,4.717
128,1KB.txt,3.957,3.603
128,1KB.txt,4.558,3.855
128,1KB.txt,3.714,4.364
128,1KB.txt,3.682,3.484
128,1KB.txt,5.324,7.725
128,1KB.txt,3.599,3.786
128,1KB.txt,5.336,3.532
128,1KB.txt,3.721,4.476
128,1KB.txt,3.844,4.014
128,1KB.txt,5.141,16.437
128,1KB.txt,5.902,6.614
128,1KB.txt,5.271,4.399
128,1KB.txt,36.102,5.252
128,1KB.txt,3.937,4.305
128,1KB.txt,5.65,4.036
128,1KB.txt,3.833,7.657
128,1KB.txt,3.904,3.641
128,1KB.txt,3.878,19.819
128,1KB.txt,5.252,3.938
128,1KB.txt,3.928,4.904
128,1KB.txt,3.715,3.773
128,1KB.txt,3.924,3.79
128,1KB.txt,4.195,6.618
128,1KB.txt,3.884,3.714
128,1KB.txt,7.349,5.071
128,1KB.txt,16.065,4.873
128,1KB.txt,3.891,4.466
128,1KB.txt,5.253,4.48
128,1KB.txt,4.676,3.86
128,1KB.txt,3.912,4.088
128,1KB.txt,4.802,3.813
128,1KB.txt,4.407,4.357
128,1KB.txt,15.594,4.754
128,1KB.txt,4.045,4.391
128,1KB.txt,3.938,3.879
128,1KB.txt,5.518,5.068
128,1KB.txt,4.308,7.545
128,1KB.txt,4.35,4.125
128,1KB.txt,4.022,4.219
128,1KB.txt,3.935,3.722
128,1KB.txt,5.112,6.452
128,1KB.txt,3.634,3.824
128,1KB.txt,5.194,3.724
128,1KB.txt,4.764,3.552
128,1KB.txt,3.95,3.84
128,1KB.txt,3.868,4.425
128,1KB.txt,3.837,4.033
128,1KB.txt,3.947,8.111
128,1KB.txt,4.423,7.142
128,1KB.txt,9.913,8.598
128,1KB.txt,13.71,3.971
128,1KB.txt,4.921,61.277
128,1KB.txt,4.061,4.009
128,1KB.txt,4.065,4.473
128,1KB.txt,3.94,4.007
128,1KB.txt,4.817,3.846
128,1KB.txt,5.187,4.097
128,1KB.txt,5.744,6.158
128,1KB.txt,3.977,3.777
128,1KB.txt,4.532,3.507
128,1KB.txt,4.405,3.717
128,1KB.txt,3.853,3.675
128,1KB.txt,6.295,4.05
128,1KB.txt,3.894,3.775
128,1KB.txt,4.247,4.845
128,1KB.txt,4.155,3.847
128,1KB.txt,3.712,4.74
