KeySize,File,Encryption_Time,Decryption_Time
128,1KB.txt,0.876,0.67
128,1KB.txt,0.541,0.33
128,1KB.txt,0.247,0.251
128,1KB.txt,0.253,0.24
128,1KB.txt,0.288,0.424
128,1KB.txt,0.342,0.755
128,1KB.txt,0.31,0.292
128,1KB.txt,0.567,0.31
128,1KB.txt,0.28,0.261
128,1KB.txt,0.295,0.278
128,1KB.txt,0.26,0.271
128,1KB.txt,0.25,0.261
128,1KB.txt,0.293,0.272
128,1KB.txt,0.297,0.255
128,1KB.txt,0.313,0.258
128,1KB.txt,0.228,0.262
128,1KB.txt,0.25,0.28
128,1KB.txt,0.27,0.288
128,1KB.txt,0.288,0.575
128,1KB.txt,0.258,0.233
128,1KB.txt,0.264,0.251
128,1KB.txt,0.62,0.238
128,1KB.txt,0.231,0.266
128,1KB.txt,0.328,0.272
128,1KB.txt,0.238,0.254
128,1KB.txt,0.275,0.254
128,1KB.txt,0.267,0.236
128,1KB.txt,0.256,0.262
128,1KB.txt,0.333,0.256
128,1KB.txt,0.251,0.364
128,1KB.txt,0.244,0.237
128,1KB.txt,0.224,0.237
128,1KB.txt,0.235,0.267
128,1KB.txt,0.241,0.254
128,1KB.txt,0.245,0.376
128,1KB.txt,0.451,1.306
128,1KB.txt,0.478,0.269
128,1KB.txt,0.247,0.269
128,1KB.txt,0.248,0.243
128,1KB.txt,0.25,0.253
128,1KB.txt,0.275,0.258
128,1KB.txt,0.246,0.264
128,1KB.txt,0.25,0.239
128,1KB.txt,0.245,0.383
128,1KB.txt,0.263,0.247
128,1KB.txt,0.243,0.255
128,1KB.txt,0.296,0.275
128,1KB.txt,0.233,0.298
128,1KB.txt,0.248,0.234
128,1KB.txt,0.616,0.246
128,1KB.txt,0.259,0.265
128,1KB.txt,0.242,0.335
128,1KB.txt,0.249,0.237
128,1KB.txt,0.307,0.279
128,1KB.txt,0.265,0.232
128,1KB.txt,0.225,0.262
128,1KB.txt,0.247,0.256
128,1KB.txt,0.255,0.252
128,1KB.txt,0.29,0.489
128,1KB.txt,0.541,0.256
128,1KB.txt,0.257,0.243
128,1KB.txt,0.282,0.31
128,1KB.txt,0.271,0.297
128,1KB.txt,0.264,0.282
128,1KB.txt,0.307,0.279
128,1KB.txt,0.302,0.263
128,1KB.txt,0.215,0.283
128,1KB.txt,0.216,0.241
128,1KB.txt,0.259,0.21
128,1KB.txt,0.236,0.233
128,1KB.txt,0.214,0.226
128,1KB.txt,0.218,0.221
128,1KB.txt,0.237,0.242
128,1KB.txt,0.22,0.308
128,1KB.txt,0.249,0.224
128,1KB.txt,0.274,0.222
128,1KB.txt,0.258,0.252
128,1KB.txt,0.232,0.271
128,1KB.txt,0.251,0.223
128,1KB.txt,0.241,0.231
128,1KB.txt,0.253,0.245
128,1KB.txt,0.232,0.207
128,1KB.txt,0.252,0.203
128,1KB.txt,0.204,0.237
128,1KB.txt,0.226,0.212
128,1KB.txt,0.338,0.218
128,1KB.txt,0.208,0.256
128,1KB.txt,0.209,0.207
128,1KB.txt,0.227,0.205
128,1KB.txt,0.229,0.248
128,1KB.txt,0.214,0.222
128,1KB.txt,0.24,0.265
128,1KB.txt,0.281,0.252
128,1KB.txt,0.232,0.268
128,1KB.txt,0.245,0.221
128,1KB.txt,0.377,0.252
128,1KB.txt,0.208,0.246
128,1KB.txt,0.274,0.694
128,1KB.txt,0.276,0.262
128,1KB.txt,0.286,0.395
128,1KB.txt,0.336,0.279
128,1KB.txt,0.247,0.251
128,1KB.txt,0.242,0.261
128,1KB.txt,0.296,0.266
128,1KB.txt,0.317,0.294
128,1KB.txt,0.256,0.382
128,1KB.txt,0.281,0.262
128,1KB.txt,0.801,0.266
128,1KB.txt,0.255,0.26
128,1KB.txt,0.256,0.245
128,1KB.txt,0.257,0.255
128,1KB.txt,0.262,0.249
128,1KB.txt,0.282,0.269
128,1KB.txt,0.336,0.265
128,1KB.txt,0.262,0.242
128,1KB.txt,0.241,0.247
128,1KB.txt,0.267,0.213
128,1KB.txt,0.213,0.248
128,1KB.txt,0.219,0.204
128,1KB.txt,0.247,0.213
128,1KB.txt,0.202,0.229
128,1KB.txt,0.237,0.207
128,1KB.txt,0.244,0.214
128,1KB.txt,0.223,0.235
128,1KB.txt,0.241,0.223
128,1KB.txt,0.259,0.229
128,1KB.txt,0.215,0.24
128,1KB.txt,0.221,0.231
128,1KB.txt,0.245,0.219
128,1KB.txt,0.212,0.232
128,1KB.txt,0.258,0.255
128,1KB.txt,0.249,0.22
128,1KB.txt,0.219,0.242
128,1KB.txt,0.227,0.278
128,1KB.txt,0.271,0.278
128,1KB.txt,0.273,0.243
128,1KB.txt,0.231,0.237
128,1KB.txt,0.219,0.217
128,1KB.txt,0.225,0.222
128,1KB.txt,0.235,0.253
128,1KB.txt,0.226,0.217
128,1KB.txt,0.24,0.233
128,1KB.txt,0.34,0.257
128,1KB.txt,0.224,0.255
128,1KB.txt,0.231,0.225
128,1KB.txt,0.264,0.222
128,1KB.txt,0.266,0.247
128,1KB.txt,0.223,0.219
128,1KB.txt,0.252,0.217
128,1KB.txt,0.253,0.242
128,1KB.txt,0.215,0.262
128,1KB.txt,0.261,0.258
128,1KB.txt,0.236,0.247
128,1KB.txt,0.214,0.231
128,1KB.txt,0.249,0.22
128,1KB.txt,0.234,0.272
128,1KB.txt,0.215,0.223
128,1KB.txt,0.25,0.232
128,1KB.txt,0.221,0.221
128,1KB.txt,0.224,0.349
128,1KB.txt,0.272,0.259
128,1KB.txt,0.252,0.226
