KeySize,Format,File,Encryption_Time,Decryption_Time
3072,DER,Plain_128.txt,0.38,5.027
3072,DER,Plain_128.txt,0.873,6.083
3072,DER,Plain_128.txt,0.602,4.83
3072,DER,Plain_128.txt,1.031,5.023
3072,DER,Plain_128.txt,0.911,5.094
3072,DER,Plain_128.txt,2.389,4.767
3072,DER,Plain_128.txt,0.716,19.648
3072,DER,Plain_128.txt,0.513,16.865
3072,DER,Plain_128.txt,0.533,5.687
3072,DER,Plain_128.txt,0.759,5.691
3072,DER,Plain_128.txt,0.785,4.828
3072,DER,Plain_128.txt,0.935,4.911
3072,DER,Plain_128.txt,0.761,7.068
3072,DER,Plain_128.txt,2.131,5.505
3072,DER,Plain_128.txt,0.514,5.667
3072,DER,Plain_128.txt,0.439,4.835
3072,DER,Plain_128.txt,0.424,5.894
3072,DER,Plain_128.txt,0.43,5.627
3072,DER,Plain_128.txt,1.383,4.71
3072,DER,Plain_128.txt,0.613,13.567
3072,DER,Plain_128.txt,0.448,4.689
3072,DER,Plain_128.txt,0.456,4.668
3072,DER,Plain_128.txt,0.543,6.098
3072,DER,Plain_128.txt,0.471,5.077
3072,DER,Plain_128.txt,0.736,4.742
3072,DER,Plain_128.txt,0.485,4.794
3072,DER,Plain_128.txt,0.486,4.983
3072,DER,Plain_128.txt,0.832,4.628
3072,DER,Plain_128.txt,0.466,4.659
3072,DER,Plain_128.txt,0.479,4.928
3072,DER,Plain_128.txt,0.528,5.825
3072,DER,Plain_128.txt,0.617,5.113
3072,DER,Plain_128.txt,0.611,4.753
3072,DER,Plain_128.txt,0.689,4.502
3072,DER,Plain_128.txt,0.824,7.438
3072,DER,Plain_128.txt,0.566,9.353
3072,DER,Plain_128.txt,1.042,6.061
3072,DER,Plain_128.txt,0.99,4.693
3072,DER,Plain_128.txt,3.527,5.393
3072,DER,Plain_128.txt,0.736,6.767
3072,DER,Plain_128.txt,0.775,7.976
3072,DER,Plain_128.txt,0.902,4.883
3072,DER,Plain_128.txt,0.712,18.506
3072,DER,Plain_128.txt,1.652,4.887
3072,DER,Plain_128.txt,0.551,6.349
3072,DER,Plain_128.txt,1.133,7.344
3072,DER,Plain_128.txt,0.726,6.098
3072,DER,Plain_128.txt,0.56,4.658
3072,DER,Plain_128.txt,0.603,5.006
3072,DER,Plain_128.txt,0.658,7.985
3072,DER,Plain_128.txt,0.87,5.849
3072,DER,Plain_128.txt,0.531,4.922
3072,DER,Plain_128.txt,0.714,4.93
3072,DER,Plain_128.txt,0.588,5.337
3072,DER,Plain_128.txt,0.636,5.101
3072,DER,Plain_128.txt,0.533,5.567
3072,DER,Plain_128.txt,0.494,4.802
3072,DER,Plain_128.txt,0.713,7.474
3072,DER,Plain_128.txt,0.667,5.877
3072,DER,Plain_128.txt,0.489,5.124
3072,DER,Plain_128.txt,1.225,4.985
3072,DER,Plain_128.txt,0.904,4.814
3072,DER,Plain_128.txt,0.72,9.717
3072,DER,Plain_128.txt,0.567,6.029
3072,DER,Plain_128.txt,0.496,6.218
3072,DER,Plain_128.txt,0.706,5.947
3072,DER,Plain_128.txt,0.622,5.164
3072,DER,Plain_128.txt,0.506,5.033
3072,DER,Plain_128.txt,0.608,5.451
3072,DER,Plain_128.txt,0.928,5.348
3072,DER,Plain_128.txt,0.532,7.899
3072,DER,Plain_128.txt,0.522,6.35
3072,DER,Plain_128.txt,0.96,6.54
3072,DER,Plain_128.txt,0.631,5.102
3072,DER,Plain_128.txt,0.573,6.474
3072,DER,Plain_128.txt,0.868,6.176
3072,DER,Plain_128.txt,0.699,5.221
3072,DER,Plain_128.txt,0.592,5.041
3072,DER,Plain_128.txt,0.938,5.081
3072,DER,Plain_128.txt,0.503,5.849
3072,DER,Plain_128.txt,0.465,5.775
3072,DER,Plain_128.txt,0.541,5.365
3072,DER,Plain_128.txt,0.495,5.026
3072,DER,Plain_128.txt,0.539,4.583
3072,DER,Plain_128.txt,0.791,4.697
3072,DER,Plain_128.txt,0.64,4.702
3072,DER,Plain_128.txt,0.511,5
3072,DER,Plain_128.txt,0.977,5.368
3072,DER,Plain_128.txt,7.86,7.185
3072,DER,Plain_128.txt,0.682,5.364
3072,DER,Plain_128.txt,2.088,6.165
3072,DER,Plain_128.txt,0.854,13.706
3072,DER,Plain_128.txt,0.535,5.573
3072,DER,Plain_128.txt,0.639,4.641
3072,DER,Plain_128.txt,0.63,4.657
3072,DER,Plain_128.txt,0.405,5.421
3072,DER,Plain_128.txt,0.656,4.978
3072,DER,Plain_128.txt,0.543,5.039
3072,DER,Plain_128.txt,0.491,4.537
3072,DER,Plain_128.txt,0.829,4.892
3072,DER,Plain_128.txt,0.508,4.564
3072,DER,Plain_128.txt,0.495,5.203
3072,DER,Plain_128.txt,0.613,4.637
3072,DER,Plain_128.txt,0.566,5.518
3072,DER,Plain_128.txt,0.592,4.97
3072,DER,Plain_128.txt,0.606,5.265
3072,DER,Plain_128.txt,0.474,4.833
3072,DER,Plain_128.txt,0.529,4.688
3072,DER,Plain_128.txt,0.478,4.498
3072,DER,Plain_128.txt,0.803,5.473
3072,DER,Plain_128.txt,0.544,5.559
3072,DER,Plain_128.txt,0.625,6.782
3072,DER,Plain_128.txt,0.519,6.376
3072,DER,Plain_128.txt,0.484,6.204
3072,DER,Plain_128.txt,0.668,5.083
3072,DER,Plain_128.txt,0.449,4.804
3072,DER,Plain_128.txt,0.468,4.989
3072,DER,Plain_128.txt,0.459,4.757
3072,DER,Plain_128.txt,3.426,4.738
3072,DER,Plain_128.txt,0.615,4.893
3072,DER,Plain_128.txt,0.568,4.737
3072,DER,Plain_128.txt,0.6,4.722
3072,DER,Plain_128.txt,0.736,5.927
3072,DER,Plain_128.txt,0.521,4.598
3072,DER,Plain_128.txt,0.539,5.352
3072,DER,Plain_128.txt,0.528,5.914
3072,DER,Plain_128.txt,1.459,6.929
3072,DER,Plain_128.txt,0.504,5.452
3072,DER,Plain_128.txt,0.753,4.946
3072,DER,Plain_128.txt,0.836,4.52
3072,DER,Plain_128.txt,0.943,6.112
3072,DER,Plain_128.txt,6.651,4.55
3072,DER,Plain_128.txt,0.613,6.903
3072,DER,Plain_128.txt,0.546,5.573
3072,DER,Plain_128.txt,0.475,4.92
3072,DER,Plain_128.txt,0.471,4.824
3072,DER,Plain_128.txt,1.457,4.89
3072,DER,Plain_128.txt,0.637,15.982
3072,DER,Plain_128.txt,1.222,6.408
3072,DER,Plain_128.txt,0.595,5.043
3072,DER,Plain_128.txt,1.627,4.837
3072,DER,Plain_128.txt,0.44,4.731
3072,DER,Plain_128.txt,0.544,4.541
3072,DER,Plain_128.txt,0.771,5.88
3072,DER,Plain_128.txt,1.574,5.324
3072,DER,Plain_128.txt,0.473,6.564
3072,DER,Plain_128.txt,0.443,6.206
3072,DER,Plain_128.txt,0.497,4.91
3072,DER,Plain_128.txt,0.484,4.832
3072,DER,Plain_128.txt,0.448,4.544
3072,DER,Plain_128.txt,0.568,5.011
3072,DER,Plain_128.txt,0.407,4.617
3072,DER,Plain_128.txt,0.426,4.768
3072,DER,Plain_128.txt,0.528,5.226
3072,DER,Plain_128.txt,0.474,4.556
3072,DER,Plain_128.txt,0.506,4.793
3072,DER,Plain_128.txt,0.725,4.621
3072,DER,Plain_128.txt,0.409,5.975
3072,DER,Plain_128.txt,0.672,5.539
3072,DER,Plain_128.txt,0.523,4.85
3072,DER,Plain_128.txt,0.617,5.443
3072,DER,Plain_128.txt,0.691,5.739
3072,DER,Plain_128.txt,0.6,4.659
3072,DER,Plain_128.txt,0.915,5.777
3072,DER,Plain_128.txt,0.774,8.144
3072,DER,Plain_128.txt,0.45,15.17
3072,DER,Plain_128.txt,0.58,5.856
3072,DER,Plain_128.txt,0.627,5.496
3072,DER,Plain_128.txt,0.844,5.213
3072,DER,Plain_128.txt,8.45,4.985
3072,DER,Plain_128.txt,0.571,5.86
3072,DER,Plain_128.txt,0.751,4.759
3072,DER,Plain_128.txt,1.027,4.723
