KeySize,Format,File,Encryption_Time,Decryption_Time
3072,DER,Plain_128.txt,2.517,6.45
3072,DER,Plain_128.txt,2.688,7.972
3072,DER,Plain_128.txt,2.429,6.463
3072,DER,Plain_128.txt,2.356,6.794
3072,DER,Plain_128.txt,2.173,6.458
3072,DER,Plain_128.txt,2.533,6.75
3072,DER,Plain_128.txt,2.396,6.553
3072,DER,Plain_128.txt,2.553,7.196
3072,DER,Plain_128.txt,3.259,6.265
3072,DER,Plain_128.txt,2.171,6.674
3072,DER,Plain_128.txt,2.196,6.569
3072,DER,Plain_128.txt,2.568,6.335
3072,DER,Plain_128.txt,2.163,6.519
3072,DER,Plain_128.txt,2.365,6.555
3072,DER,Plain_128.txt,2.186,6.606
3072,DER,Plain_128.txt,2.362,6.819
3072,DER,Plain_128.txt,2.671,6.883
3072,DER,Plain_128.txt,2.222,6.392
3072,DER,Plain_128.txt,2.203,6.636
3072,DER,Plain_128.txt,2.184,6.426
3072,DER,Plain_128.txt,2.131,6.584
3072,DER,Plain_128.txt,2.334,6.305
3072,DER,Plain_128.txt,2.158,6.897
3072,DER,Plain_128.txt,2.191,6.715
3072,DER,Plain_128.txt,2.234,6.771
3072,DER,Plain_128.txt,2.381,7.09
3072,DER,Plain_128.txt,2.249,6.518
3072,DER,Plain_128.txt,2.268,7.082
3072,DER,Plain_128.txt,2.373,6.754
3072,DER,Plain_128.txt,2.145,6.275
3072,DER,Plain_128.txt,11.734,6.233
3072,DER,Plain_128.txt,2.123,6.377
3072,DER,Plain_128.txt,2.353,6.858
3072,DER,Plain_128.txt,2.537,6.484
3072,DER,Plain_128.txt,2.175,6.297
3072,DER,Plain_128.txt,2.14,6.486
3072,DER,Plain_128.txt,2.658,6.405
3072,DER,Plain_128.txt,2.299,6.441
3072,DER,Plain_128.txt,2.821,7.347
3072,DER,Plain_128.txt,2.684,6.741
3072,DER,Plain_128.txt,2.447,6.505
3072,DER,Plain_128.txt,2.137,6.912
3072,DER,Plain_128.txt,2.237,6.457
3072,DER,Plain_128.txt,2.187,6.704
3072,DER,Plain_128.txt,2.155,6.292
3072,DER,Plain_128.txt,2.269,6.503
3072,DER,Plain_128.txt,2.159,6.231
3072,DER,Plain_128.txt,2.215,6.436
3072,DER,Plain_128.txt,2.741,6.483
3072,DER,Plain_128.txt,2.537,8.793
3072,DER,Plain_128.txt,2.474,6.381
3072,DER,Plain_128.txt,2.42,6.457
