Algorithm,File,Time
SHA_224,1MB.txt,20.063
SHA_224,1MB.txt,19.547
SHA_224,1MB.txt,20.031
SHA_224,1MB.txt,18.317
SHA_224,1MB.txt,20.777
SHA_224,1MB.txt,19.089
SHA_224,1MB.txt,20.240
SHA_224,1MB.txt,18.614
SHA_224,1MB.txt,18.526
SHA_224,1MB.txt,19.917
SHA_224,1MB.txt,20.813
SHA_224,1MB.txt,19.910
SHA_224,1MB.txt,20.263
SHA_224,1MB.txt,19.775
SHA_224,1MB.txt,19.884
SHA_224,1MB.txt,19.370
SHA_224,1MB.txt,18.919
SHA_224,1MB.txt,19.954
SHA_224,1MB.txt,20.328
SHA_224,1MB.txt,19.543
SHA_224,1MB.txt,19.501
SHA_224,1MB.txt,19.548
SHA_224,1MB.txt,20.534
SHA_224,1MB.txt,19.314
SHA_224,1MB.txt,18.835
SHA_224,1MB.txt,18.481
SHA_224,1MB.txt,18.258
SHA_224,1MB.txt,19.195
SHA_224,1MB.txt,19.282
SHA_224,1MB.txt,20.704
SHA_224,1MB.txt,18.226
SHA_224,1MB.txt,19.228
SHA_224,1MB.txt,18.842
SHA_224,1MB.txt,19.901
SHA_224,1MB.txt,20.567
SHA_224,1MB.txt,20.209
SHA_224,1MB.txt,19.068
SHA_224,1MB.txt,20.258
SHA_224,1MB.txt,18.505
SHA_224,1MB.txt,19.812
SHA_224,1MB.txt,20.761
SHA_224,1MB.txt,18.160
SHA_224,1MB.txt,18.485
SHA_224,1MB.txt,18.601
SHA_224,1MB.txt,18.792
SHA_224,1MB.txt,19.827
SHA_224,1MB.txt,18.664
SHA_224,1MB.txt,20.313
SHA_224,1MB.txt,18.426
SHA_224,1MB.txt,18.127
SHA_224,1MB.txt,20.235
SHA_224,1MB.txt,18.139
SHA_224,1MB.txt,18.346
SHA_224,1MB.txt,18.148
SHA_224,1MB.txt,19.282
SHA_224,1MB.txt,19.028
SHA_224,1MB.txt,18.951
SHA_224,1MB.txt,18.795
SHA_224,1MB.txt,18.311
SHA_224,1MB.txt,20.462
SHA_224,1MB.txt,18.993
SHA_224,1MB.txt,19.702
SHA_224,1MB.txt,19.699
SHA_224,1MB.txt,19.089
SHA_224,1MB.txt,19.787
SHA_224,1MB.txt,18.633
SHA_224,1MB.txt,20.200
SHA_224,1MB.txt,18.577
SHA_224,1MB.txt,20.822
SHA_224,1MB.txt,19.398
SHA_224,1MB.txt,20.591
SHA_224,1MB.txt,20.385
SHA_224,1MB.txt,19.474
SHA_224,1MB.txt,18.516
SHA_224,1MB.txt,19.771
SHA_224,1MB.txt,19.793
SHA_224,1MB.txt,19.037
SHA_224,1MB.txt,20.782
SHA_224,1MB.txt,19.158
SHA_224,1MB.txt,20.971
SHA_224,1MB.txt,19.189
SHA_224,1MB.txt,19.418
SHA_224,1MB.txt,19.527
SHA_224,1MB.txt,18.242
SHA_224,1MB.txt,19.009
SHA_224,1MB.txt,19.925
SHA_224,1MB.txt,20.591
SHA_224,1MB.txt,19.671
SHA_224,1MB.txt,18.262
SHA_224,1MB.txt,20.381
SHA_224,1MB.txt,19.657
SHA_224,1MB.txt,20.891
SHA_224,1MB.txt,18.466
SHA_224,1MB.txt,20.923
SHA_224,1MB.txt,20.348
SHA_224,1MB.txt,20.086
SHA_224,1MB.txt,18.187
SHA_224,1MB.txt,19.157
SHA_224,1MB.txt,21.067
SHA_224,1MB.txt,19.875
SHA_224,1MB.txt,20.718
SHA_224,1MB.txt,18.503
SHA_224,1MB.txt,18.931
SHA_224,1MB.txt,19.133
SHA_224,1MB.txt,20.235
SHA_224,1MB.txt,20.283
SHA_224,1MB.txt,19.831
SHA_224,1MB.txt,20.250
SHA_224,1MB.txt,20.498
SHA_224,1MB.txt,20.467
SHA_224,1MB.txt,18.418
SHA_224,1MB.txt,20.422
SHA_224,1MB.txt,18.552
SHA_224,1MB.txt,18.620
SHA_224,1MB.txt,19.400
SHA_224,1MB.txt,19.388
SHA_224,1MB.txt,20.978
SHA_224,1MB.txt,20.978
SHA_224,1MB.txt,18.695
SHA_224,1MB.txt,20.338
SHA_224,1MB.txt,19.818
SHA_224,1MB.txt,19.030
SHA_224,1MB.txt,21.013
SHA_224,1MB.txt,18.553
SHA_224,1MB.txt,20.385
SHA_224,1MB.txt,20.840
SHA_224,1MB.txt,18.188
SHA_224,1MB.txt,18.781
SHA_224,1MB.txt,20.123
SHA_224,1MB.txt,19.263
SHA_224,1MB.txt,20.289
SHA_224,1MB.txt,18.876
SHA_224,1MB.txt,18.626
SHA_224,1MB.txt,18.312
SHA_224,1MB.txt,20.927
SHA_224,1MB.txt,20.051
SHA_224,1MB.txt,19.644
SHA_224,1MB.txt,18.524
SHA_224,1MB.txt,21.058
SHA_224,1MB.txt,19.221
SHA_224,1MB.txt,18.628
SHA_224,1MB.txt,20.894
SHA_224,1MB.txt,19.085
SHA_224,1MB.txt,19.608
SHA_224,1MB.txt,19.087
SHA_224,1MB.txt,19.544
SHA_224,1MB.txt,18.701
SHA_224,1MB.txt,18.567
SHA_224,1MB.txt,20.624
SHA_224,1MB.txt,20.945
SHA_224,1MB.txt,19.887
SHA_224,1MB.txt,19.968
SHA_224,1MB.txt,18.198
SHA_224,1MB.txt,20.066
SHA_224,1MB.txt,20.336
SHA_224,1MB.txt,18.520
SHA_224,1MB.txt,18.956
SHA_224,1MB.txt,19.227
SHA_224,1MB.txt,18.224
SHA_224,1MB.txt,18.540
SHA_224,1MB.txt,20.139
SHA_224,1MB.txt,20.714
SHA_224,1MB.txt,18.510
SHA_224,1MB.txt,20.136
SHA_224,1MB.txt,19.402
SHA_224,1MB.txt,20.715
SHA_224,1MB.txt,19.223
SHA_224,1MB.txt,20.799
SHA_224,1MB.txt,20.182
SHA_224,1MB.txt,18.449
SHA_224,1MB.txt,19.517
SHA_224,1MB.txt,18.890
SHA_224,1MB.txt,18.361
SHA_224,1MB.txt,19.659
SHA_224,1MB.txt,20.259
SHA_224,1MB.txt,20.538
SHA_224,1MB.txt,19.335
