Algorithm,File,Time
SHA_224,1MB.txt,40.797
SHA_224,1MB.txt,38.970
SHA_224,1MB.txt,39.415
SHA_224,1MB.txt,39.479
SHA_224,1MB.txt,41.224
SHA_224,1MB.txt,40.434
SHA_224,1MB.txt,39.604
SHA_224,1MB.txt,40.859
SHA_224,1MB.txt,39.566
SHA_224,1MB.txt,39.911
SHA_224,1MB.txt,39.605
SHA_224,1MB.txt,40.575
SHA_224,1MB.txt,40.163
SHA_224,1MB.txt,38.808
SHA_224,1MB.txt,41.187
SHA_224,1MB.txt,38.931
SHA_224,1MB.txt,41.492
SHA_224,1MB.txt,40.347
SHA_224,1MB.txt,41.094
SHA_224,1MB.txt,38.970
SHA_224,1MB.txt,39.698
SHA_224,1MB.txt,39.964
SHA_224,1MB.txt,39.569
SHA_224,1MB.txt,41.528
SHA_224,1MB.txt,40.496
SHA_224,1MB.txt,41.099
SHA_224,1MB.txt,41.561
SHA_224,1MB.txt,41.325
SHA_224,1MB.txt,40.993
SHA_224,1MB.txt,39.823
SHA_224,1MB.txt,40.866
SHA_224,1MB.txt,40.531
SHA_224,1MB.txt,40.025
SHA_224,1MB.txt,41.681
SHA_224,1MB.txt,41.486
SHA_224,1MB.txt,39.214
SHA_224,1MB.txt,40.941
SHA_224,1MB.txt,39.516
SHA_224,1MB.txt,40.201
SHA_224,1MB.txt,39.564
SHA_224,1MB.txt,41.517
SHA_224,1MB.txt,40.190
SHA_224,1MB.txt,40.721
SHA_224,1MB.txt,39.271
SHA_224,1MB.txt,41.273
SHA_224,1MB.txt,39.636
SHA_224,1MB.txt,39.506
SHA_224,1MB.txt,41.438
SHA_224,1MB.txt,41.788
SHA_224,1MB.txt,39.958
SHA_224,1MB.txt,39.618
SHA_224,1MB.txt,40.306
SHA_224,1MB.txt,39.789
SHA_224,1MB.txt,40.659
SHA_224,1MB.txt,39.797
SHA_224,1MB.txt,39.312
SHA_224,1MB.txt,40.696
SHA_224,1MB.txt,39.451
SHA_224,1MB.txt,38.934
SHA_224,1MB.txt,41.706
SHA_224,1MB.txt,39.278
SHA_224,1MB.txt,40.967
SHA_224,1MB.txt,40.568
SHA_224,1MB.txt,40.547
SHA_224,1MB.txt,39.123
SHA_224,1MB.txt,40.018
SHA_224,1MB.txt,41.136
SHA_224,1MB.txt,39.626
SHA_224,1MB.txt,39.238
SHA_224,1MB.txt,40.764
SHA_224,1MB.txt,41.432
SHA_224,1MB.txt,41.485
SHA_224,1MB.txt,41.660
SHA_224,1MB.txt,41.124
SHA_224,1MB.txt,40.590
SHA_224,1MB.txt,40.164
SHA_224,1MB.txt,41.177
SHA_224,1MB.txt,40.585
SHA_224,1MB.txt,41.447
SHA_224,1MB.txt,39.686
SHA_224,1MB.txt,40.889
SHA_224,1MB.txt,41.775
SHA_224,1MB.txt,41.629
SHA_224,1MB.txt,40.932
SHA_224,1MB.txt,40.715
SHA_224,1MB.txt,39.095
SHA_224,1MB.txt,40.407
SHA_224,1MB.txt,39.590
SHA_224,1MB.txt,40.433
SHA_224,1MB.txt,40.875
SHA_224,1MB.txt,40.146
SHA_224,1MB.txt,39.637
SHA_224,1MB.txt,40.543
SHA_224,1MB.txt,39.232
SHA_224,1MB.txt,39.631
SHA_224,1MB.txt,39.944
SHA_224,1MB.txt,40.623
SHA_224,1MB.txt,39.373
SHA_224,1MB.txt,38.892
SHA_224,1MB.txt,40.562
SHA_224,1MB.txt,40.831
SHA_224,1MB.txt,39.438
SHA_224,1MB.txt,41.230
SHA_224,1MB.txt,40.099
SHA_224,1MB.txt,39.938
SHA_224,1MB.txt,40.497
SHA_224,1MB.txt,40.563
SHA_224,1MB.txt,39.317
SHA_224,1MB.txt,41.227
SHA_224,1MB.txt,40.708
SHA_224,1MB.txt,39.468
SHA_224,1MB.txt,39.318
SHA_224,1MB.txt,41.614
SHA_224,1MB.txt,41.656
SHA_224,1MB.txt,38.963
SHA_224,1MB.txt,40.630
SHA_224,1MB.txt,40.321
SHA_224,1MB.txt,41.258
SHA_224,1MB.txt,40.705
SHA_224,1MB.txt,39.914
SHA_224,1MB.txt,39.200
SHA_224,1MB.txt,39.716
SHA_224,1MB.txt,39.517
SHA_224,1MB.txt,39.853
SHA_224,1MB.txt,39.388
SHA_224,1MB.txt,40.038
SHA_224,1MB.txt,39.909
SHA_224,1MB.txt,40.769
SHA_224,1MB.txt,39.538
SHA_224,1MB.txt,40.909
SHA_224,1MB.txt,40.257
SHA_224,1MB.txt,40.674
SHA_224,1MB.txt,41.787
SHA_224,1MB.txt,39.009
SHA_224,1MB.txt,40.687
SHA_224,1MB.txt,40.991
SHA_224,1MB.txt,40.953
SHA_224,1MB.txt,41.609
SHA_224,1MB.txt,39.072
SHA_224,1MB.txt,40.608
SHA_224,1MB.txt,38.953
SHA_224,1MB.txt,39.996
SHA_224,1MB.txt,39.331
SHA_224,1MB.txt,39.579
SHA_224,1MB.txt,40.424
SHA_224,1MB.txt,39.020
SHA_224,1MB.txt,39.202
SHA_224,1MB.txt,40.743
SHA_224,1MB.txt,39.067
SHA_224,1MB.txt,40.733
SHA_224,1MB.txt,41.061
SHA_224,1MB.txt,41.318
SHA_224,1MB.txt,40.142
SHA_224,1MB.txt,40.667
SHA_224,1MB.txt,39.634
SHA_224,1MB.txt,40.681
SHA_224,1MB.txt,40.772
SHA_224,1MB.txt,41.032
SHA_224,1MB.txt,40.309
SHA_224,1MB.txt,41.760
SHA_224,1MB.txt,39.794
SHA_224,1MB.txt,40.011
SHA_224,1MB.txt,40.460
SHA_224,1MB.txt,39.629
SHA_224,1MB.txt,41.445
SHA_224,1MB.txt,41.283
SHA_224,1MB.txt,39.282
SHA_224,1MB.txt,39.251
SHA_224,1MB.txt,41.083
SHA_224,1MB.txt,39.230
SHA_224,1MB.txt,40.889
SHA_224,1MB.txt,39.962
SHA_224,1MB.txt,39.673
SHA_224,1MB.txt,38.916
SHA_224,1MB.txt,40.106
SHA_224,1MB.txt,40.298
SHA_224,1MB.txt,39.606
SHA_224,1MB.txt,41.039
SHA_224,1MB.txt,39.688
SHA_224,1MB.txt,41.647
SHA_224,1MB.txt,39.109
SHA_224,1MB.txt,40.287
SHA_224,1MB.txt,38.813
SHA_224,1MB.txt,41.542
SHA_224,1MB.txt,41.230
SHA_224,1MB.txt,40.430
SHA_224,1MB.txt,39.353
SHA_224,1MB.txt,40.842
SHA_224,1MB.txt,39.180
SHA_224,1MB.txt,40.186
SHA_224,1MB.txt,40.110
SHA_224,1MB.txt,38.915
SHA_224,1MB.txt,40.975
SHA_224,1MB.txt,39.514
SHA_224,1MB.txt,40.935
SHA_224,1MB.txt,40.372
SHA_224,1MB.txt,40.473
SHA_224,1MB.txt,40.655
SHA_224,1MB.txt,41.447
SHA_224,1MB.txt,39.351
SHA_224,128MB.txt,6976.316
SHA_224,128MB.txt,6975.640
SHA_224,128MB.txt,6974.684
SHA_224,128MB.txt,6974.724
SHA_224,128MB.txt,6976.075
SHA_224,128MB.txt,6974.684
SHA_224,128MB.txt,6974.068
SHA_224,128MB.txt,6974.080
SHA_224,128MB.txt,6975.413
SHA_224,128MB.txt,6975.221
SHA_224,128MB.txt,6974.583
SHA_224,128MB.txt,6974.973
SHA_224,128MB.txt,6975.024
SHA_224,128MB.txt,6974.804
SHA_224,128MB.txt,6975.354
SHA_224,128MB.txt,6974.187
SHA_224,128MB.txt,6975.156
SHA_224,128MB.txt,6975.265
SHA_224,128MB.txt,6975.746
SHA_224,128MB.txt,6974.360
SHA_224,128MB.txt,6976.562
SHA_224,128MB.txt,6975.299
SHA_224,128MB.txt,6974.186
SHA_224,128MB.txt,6974.427
SHA_224,128MB.txt,6975.822
SHA_224,128MB.txt,6976.087
SHA_224,128MB.txt,6976.170
SHA_224,128MB.txt,6976.040
SHA_224,128MB.txt,6975.741
SHA_224,128MB.txt,6974.267
SHA_224,128MB.txt,6976.121
SHA_224,128MB.txt,6976.033
SHA_224,128MB.txt,6975.002
SHA_224,128MB.txt,6974.175
SHA_224,128MB.txt,6975.123
SHA_224,128MB.txt,6976.462
SHA_224,128MB.txt,6974.796
SHA_224,128MB.txt,6975.305
SHA_224,128MB.txt,6975.450
SHA_224,128MB.txt,6975.890
SHA_224,128MB.txt,6974.241
SHA_224,128MB.txt,6973.883
SHA_224,128MB.txt,6975.007
SHA_224,128MB.txt,6974.446
SHA_224,128MB.txt,6975.688
SHA_224,128MB.txt,6975.498
SHA_224,128MB.txt,6975.013
SHA_224,128MB.txt,6974.859
SHA_224,128MB.txt,6975.313
SHA_224,128MB.txt,6975.556
SHA_224,128MB.txt,6975.460
SHA_224,128MB.txt,6974.732
SHA_224,128MB.txt,6975.014
SHA_224,128MB.txt,6975.305
SHA_224,128MB.txt,6976.282
SHA_224,128MB.txt,6975.084
SHA_224,128MB.txt,6975.028
SHA_224,128MB.txt,6974.538
SHA_224,128MB.txt,6976.843
SHA_224,128MB.txt,6974.821
SHA_224,128MB.txt,6976.423
SHA_224,128MB.txt,6976.719
SHA_224,128MB.txt,6974.548
SHA_224,128MB.txt,6976.420
SHA_224,128MB.txt,6974.210
SHA_224,128MB.txt,6974.001
SHA_224,128MB.txt,6976.404
SHA_224,128MB.txt,6975.005
SHA_224,128MB.txt,6975.817
SHA_224,128MB.txt,6975.960
SHA_224,128MB.txt,6975.768
SHA_224,128MB.txt,6975.473
SHA_224,128MB.txt,6975.367
SHA_224,128MB.txt,6975.465
SHA_224,128MB.txt,6974.363
SHA_224,128MB.txt,6976.238
SHA_224,128MB.txt,6976.284
SHA_224,128MB.txt,6974.650
SHA_224,128MB.txt,6974.638
SHA_224,128MB.txt,6975.672
SHA_224,128MB.txt,6976.265
SHA_224,128MB.txt,6975.791
SHA_224,128MB.txt,6976.089
SHA_224,128MB.txt,6976.684
SHA_224,128MB.txt,6976.164
SHA_224,128MB.txt,6973.930
SHA_224,128MB.txt,6974.764
SHA_224,128MB.txt,6973.973
SHA_224,128MB.txt,6974.068
SHA_224,128MB.txt,6973.985
SHA_224,128MB.txt,6976.726
SHA_224,128MB.txt,6976.315
SHA_224,128MB.txt,6974.978
SHA_224,128MB.txt,6974.405
SHA_224,128MB.txt,6973.986
SHA_224,128MB.txt,6976.765
SHA_224,128MB.txt,6976.565
SHA_224,128MB.txt,6974.383
SHA_224,128MB.txt,6975.598
SHA_224,128MB.txt,6974.657
SHA_224,128MB.txt,6974.654
SHA_224,128MB.txt,6974.213
SHA_224,128MB.txt,6976.625
SHA_224,128MB.txt,6974.091
SHA_224,128MB.txt,6976.625
SHA_224,128MB.txt,6976.807
SHA_224,128MB.txt,6975.992
SHA_224,128MB.txt,6974.144
SHA_224,128MB.txt,6974.891
SHA_224,128MB.txt,6974.819
SHA_224,128MB.txt,6974.778
SHA_224,128MB.txt,6975.481
SHA_224,128MB.txt,6975.110
SHA_224,128MB.txt,6976.297
SHA_224,128MB.txt,6976.410
SHA_224,128MB.txt,6973.977
SHA_224,128MB.txt,6974.947
SHA_224,128MB.txt,6974.111
SHA_224,128MB.txt,6975.872
SHA_224,128MB.txt,6976.358
SHA_224,128MB.txt,6974.787
SHA_224,128MB.txt,6975.057
SHA_224,128MB.txt,6974.217
SHA_224,128MB.txt,6975.426
SHA_224,128MB.txt,6974.407
SHA_224,128MB.txt,6974.184
SHA_224,128MB.txt,6975.092
SHA_224,128MB.txt,6974.631
SHA_224,128MB.txt,6975.280
SHA_224,128MB.txt,6974.317
SHA_224,128MB.txt,6975.099
SHA_224,128MB.txt,6976.766
SHA_224,128MB.txt,6975.919
SHA_224,128MB.txt,6976.063
SHA_224,128MB.txt,6976.719
SHA_224,128MB.txt,6975.063
SHA_224,128MB.txt,6974.192
SHA_224,128MB.txt,6974.353
SHA_224,128MB.txt,6973.854
SHA_224,128MB.txt,6975.867
SHA_224,128MB.txt,6974.022
SHA_224,128MB.txt,6975.100
SHA_224,128MB.txt,6974.217
SHA_224,128MB.txt,6976.844
SHA_224,128MB.txt,6976.190
SHA_224,128MB.txt,6975.708
SHA_224,128MB.txt,6976.217
SHA_224,128MB.txt,6975.597
SHA_224,128MB.txt,6974.748
SHA_224,128MB.txt,6975.582
SHA_224,128MB.txt,6975.663
SHA_224,128MB.txt,6976.648
SHA_224,128MB.txt,6974.018
SHA_224,128MB.txt,6976.758
SHA_224,128MB.txt,6975.688
SHA_224,128MB.txt,6974.386
SHA_224,128MB.txt,6974.425
SHA_224,128MB.txt,6975.673
SHA_224,128MB.txt,6976.109
SHA_224,128MB.txt,6975.224
SHA_224,128MB.txt,6975.493
SHA_224,128MB.txt,6974.163
SHA_224,128MB.txt,6976.527
SHA_224,128MB.txt,6975.065
SHA_224,128MB.txt,6974.366
SHA_224,128MB.txt,6976.213
SHA_224,128MB.txt,6974.285
SHA_224,128MB.txt,6975.972
SHA_224,128MB.txt,6974.063
SHA_224,128MB.txt,6976.650
SHA_224,128MB.txt,6975.242
SHA_224,128MB.txt,6975.060
SHA_224,128MB.txt,6974.444
SHA_224,128MB.txt,6976.774
SHA_224,128MB.txt,6975.420
SHA_224,128MB.txt,6975.758
SHA_224,128MB.txt,6975.280
SHA_224,128MB.txt,6973.997
SHA_224,128MB.txt,6974.757
SHA_224,128MB.txt,6976.626
SHA_224,128MB.txt,6976.385
SHA_224,128MB.txt,6974.224
SHA_224,128MB.txt,6976.776
SHA_224,128MB.txt,6976.346
SHA_224,128MB.txt,6975.931
SHA_224,128MB.txt,6975.405
SHA_224,128MB.txt,6974.509
SHA_224,128MB.txt,6975.221
SHA_224,128MB.txt,6975.689
SHA_224,128MB.txt,6974.386
SHA_224,128MB.txt,6974.210
SHA_224,128MB.txt,6976.222
SHA_224,128MB.txt,6976.282
SHA_224,128MB.txt,6976.513
SHA_224,128MB.txt,6973.981
SHA_224,128MB.txt,6976.196
