Algorithm,File,Time
SHA_224,1MB.txt,9.518
SHA_224,1MB.txt,10.760
SHA_224,1MB.txt,9.945
SHA_224,1MB.txt,9.734
SHA_224,1MB.txt,11.376
SHA_224,1MB.txt,11.117
SHA_224,1MB.txt,11.456
SHA_224,1MB.txt,11.389
SHA_224,1MB.txt,10.354
SHA_224,1MB.txt,11.092
SHA_224,1MB.txt,11.480
SHA_224,1MB.txt,11.454
SHA_224,1MB.txt,10.345
SHA_224,1MB.txt,9.048
SHA_224,1MB.txt,10.049
SHA_224,1MB.txt,11.352
SHA_224,1MB.txt,10.738
SHA_224,1MB.txt,9.386
SHA_224,1MB.txt,8.642
SHA_224,1MB.txt,9.300
SHA_224,1MB.txt,10.218
SHA_224,1MB.txt,11.041
SHA_224,1MB.txt,8.670
SHA_224,1MB.txt,10.179
SHA_224,1MB.txt,10.760
SHA_224,1MB.txt,10.441
SHA_224,1MB.txt,10.337
SHA_224,1MB.txt,8.744
SHA_224,1MB.txt,9.605
SHA_224,1MB.txt,10.899
SHA_224,1MB.txt,9.601
SHA_224,1MB.txt,11.175
SHA_224,1MB.txt,11.014
SHA_224,1MB.txt,11.482
SHA_224,1MB.txt,10.919
SHA_224,1MB.txt,11.181
SHA_224,1MB.txt,10.041
SHA_224,1MB.txt,11.107
SHA_224,1MB.txt,10.436
SHA_224,1MB.txt,8.683
SHA_224,1MB.txt,11.391
SHA_224,1MB.txt,10.470
SHA_224,1MB.txt,8.947
SHA_224,1MB.txt,11.357
SHA_224,1MB.txt,9.198
SHA_224,1MB.txt,9.384
SHA_224,1MB.txt,10.070
SHA_224,1MB.txt,10.815
SHA_224,1MB.txt,11.319
SHA_224,1MB.txt,8.990
SHA_224,1MB.txt,9.650
SHA_224,1MB.txt,9.277
SHA_224,1MB.txt,10.788
SHA_224,1MB.txt,10.647
SHA_224,1MB.txt,9.326
SHA_224,1MB.txt,11.461
SHA_224,1MB.txt,8.841
SHA_224,1MB.txt,10.136
SHA_224,1MB.txt,10.093
SHA_224,1MB.txt,9.326
SHA_224,1MB.txt,8.843
SHA_224,1MB.txt,10.378
SHA_224,1MB.txt,10.645
SHA_224,1MB.txt,9.451
SHA_224,1MB.txt,10.097
SHA_224,1MB.txt,10.989
SHA_224,1MB.txt,10.536
SHA_224,1MB.txt,9.898
SHA_224,1MB.txt,10.173
SHA_224,1MB.txt,8.630
SHA_224,1MB.txt,9.754
SHA_224,1MB.txt,9.425
SHA_224,1MB.txt,11.378
SHA_224,1MB.txt,9.509
SHA_224,1MB.txt,8.782
SHA_224,1MB.txt,11.258
SHA_224,1MB.txt,10.131
SHA_224,1MB.txt,11.097
SHA_224,1MB.txt,10.782
SHA_224,1MB.txt,9.534
SHA_224,1MB.txt,9.539
SHA_224,1MB.txt,10.832
SHA_224,1MB.txt,10.635
SHA_224,1MB.txt,8.620
SHA_224,1MB.txt,9.407
SHA_224,1MB.txt,10.182
SHA_224,1MB.txt,9.386
SHA_224,1MB.txt,10.769
SHA_224,1MB.txt,10.773
SHA_224,1MB.txt,9.214
SHA_224,1MB.txt,11.270
SHA_224,1MB.txt,11.152
SHA_224,1MB.txt,11.434
SHA_224,1MB.txt,10.493
SHA_224,1MB.txt,9.480
SHA_224,1MB.txt,11.279
SHA_224,1MB.txt,11.034
SHA_224,1MB.txt,10.878
SHA_224,1MB.txt,8.861
SHA_224,1MB.txt,8.829
SHA_224,1MB.txt,11.290
SHA_224,1MB.txt,10.372
SHA_224,1MB.txt,10.426
SHA_224,1MB.txt,9.462
SHA_224,1MB.txt,8.872
SHA_224,1MB.txt,9.532
SHA_224,1MB.txt,11.126
SHA_224,1MB.txt,10.921
SHA_224,1MB.txt,11.229
SHA_224,1MB.txt,9.799
SHA_224,1MB.txt,9.454
SHA_224,1MB.txt,11.001
SHA_224,1MB.txt,10.492
SHA_224,1MB.txt,11.561
SHA_224,1MB.txt,10.072
SHA_224,1MB.txt,9.325
SHA_224,1MB.txt,9.771
SHA_224,1MB.txt,9.792
SHA_224,1MB.txt,9.922
SHA_224,1MB.txt,8.942
SHA_224,1MB.txt,9.057
SHA_224,1MB.txt,8.944
SHA_224,1MB.txt,9.239
SHA_224,1MB.txt,11.217
SHA_224,1MB.txt,11.069
SHA_224,1MB.txt,10.669
SHA_224,1MB.txt,10.197
SHA_224,1MB.txt,8.664
SHA_224,1MB.txt,10.019
SHA_224,1MB.txt,11.488
SHA_224,1MB.txt,10.543
SHA_224,1MB.txt,11.244
SHA_224,1MB.txt,10.704
SHA_224,1MB.txt,8.996
SHA_224,1MB.txt,9.356
SHA_224,1MB.txt,10.594
SHA_224,1MB.txt,11.293
SHA_224,1MB.txt,10.848
SHA_224,1MB.txt,9.900
SHA_224,1MB.txt,8.738
SHA_224,1MB.txt,10.297
SHA_224,1MB.txt,10.452
SHA_224,1MB.txt,9.043
