Algorithm,Format,File,SignTime,VerifyTime
ECDSA,DER,1MB.txt,0.014,0.013
ECDSA,DER,1MB.txt,0.018,0.038
ECDSA,DER,1MB.txt,0.011,0.012
ECDSA,DER,1MB.txt,0.012,0.009
ECDSA,DER,1MB.txt,0.015,0.011
ECDSA,DER,1MB.txt,0.013,0.011
ECDSA,DER,1MB.txt,0.011,0.012
ECDSA,DER,1MB.txt,0.012,0.014
ECDSA,DER,1MB.txt,0.015,0.013
ECDSA,DER,1MB.txt,0.012,0.013
ECDSA,DER,1MB.txt,0.014,0.015
ECDSA,DER,1MB.txt,0.02,0.011
ECDSA,DER,1MB.txt,0.013,0.016
ECDSA,DER,1MB.txt,0.014,0.01
ECDSA,DER,1MB.txt,0.021,0.015
ECDSA,DER,1MB.txt,0.015,0.011
ECDSA,DER,1MB.txt,0.011,0.013
ECDSA,DER,1MB.txt,0.011,0.009
ECDSA,DER,1MB.txt,0.012,0.019
ECDSA,DER,1MB.txt,0.021,0.016
ECDSA,DER,1MB.txt,0.028,0.012
ECDSA,DER,1MB.txt,0.014,0.012
ECDSA,DER,1MB.txt,0.01,0.01
ECDSA,DER,1MB.txt,0.018,0.017
ECDSA,DER,1MB.txt,0.016,0.01
ECDSA,DER,1MB.txt,0.013,0.01
ECDSA,DER,1MB.txt,0.011,0.013
ECDSA,DER,1MB.txt,0.015,0.014
ECDSA,DER,1MB.txt,0.013,0.012
ECDSA,DER,1MB.txt,0.022,0.012
ECDSA,DER,1MB.txt,0.015,0.014
ECDSA,DER,1MB.txt,0.011,0.013
ECDSA,DER,1MB.txt,0.012,0.009
ECDSA,DER,1MB.txt,0.009,0.008
ECDSA,DER,1MB.txt,0.012,0.029
ECDSA,DER,1MB.txt,0.014,0.023
ECDSA,DER,1MB.txt,0.018,0.026
ECDSA,DER,1MB.txt,0.012,0.011
ECDSA,DER,1MB.txt,0.012,0.009
ECDSA,DER,1MB.txt,0.009,0.008
ECDSA,DER,1MB.txt,0.02,0.019
ECDSA,DER,1MB.txt,0.016,0.013
ECDSA,DER,1MB.txt,0.012,0.011
ECDSA,DER,1MB.txt,0.012,0.009
ECDSA,DER,1MB.txt,0.009,0.008
ECDSA,DER,1MB.txt,0.012,0.01
ECDSA,DER,1MB.txt,0.017,0.014
ECDSA,DER,1MB.txt,0.015,0.011
ECDSA,DER,1MB.txt,0.013,0.014
ECDSA,DER,1MB.txt,0.012,0.014
ECDSA,DER,1MB.txt,0.01,0.009
ECDSA,DER,1MB.txt,0.009,0.009
ECDSA,DER,1MB.txt,0.012,0.009
ECDSA,DER,1MB.txt,0.011,0.012
ECDSA,DER,1MB.txt,0.018,0.015
ECDSA,DER,1MB.txt,0.013,0.013
ECDSA,DER,1MB.txt,0.011,0.013
ECDSA,DER,1MB.txt,0.02,0.013
ECDSA,DER,1MB.txt,0.014,0.012
ECDSA,DER,1MB.txt,0.012,0.016
ECDSA,DER,1MB.txt,0.01,0.009
ECDSA,DER,1MB.txt,0.01,0.008
ECDSA,DER,1MB.txt,0.009,0.008
ECDSA,DER,1MB.txt,0.022,0.01
ECDSA,DER,1MB.txt,0.013,0.011
ECDSA,DER,1MB.txt,0.011,0.01
ECDSA,DER,1MB.txt,0.009,0.014
ECDSA,DER,1MB.txt,0.013,0.012
ECDSA,DER,1MB.txt,0.013,0.013
ECDSA,DER,1MB.txt,0.013,0.012
ECDSA,DER,1MB.txt,0.01,0.012
ECDSA,DER,1MB.txt,0.012,0.012
ECDSA,DER,1MB.txt,0.019,0.013
ECDSA,DER,1MB.txt,0.013,0.01
ECDSA,DER,1MB.txt,0.012,0.013
ECDSA,DER,1MB.txt,0.011,0.012
ECDSA,DER,1MB.txt,0.01,0.012
ECDSA,DER,1MB.txt,0.012,0.009
ECDSA,DER,1MB.txt,0.013,0.01
ECDSA,DER,1MB.txt,0.014,0.009
ECDSA,DER,1MB.txt,0.009,0.008
ECDSA,DER,1MB.txt,0.009,0.008
ECDSA,DER,1MB.txt,0.009,0.008
ECDSA,DER,1MB.txt,0.026,0.009
ECDSA,DER,1MB.txt,0.013,0.012
ECDSA,DER,1MB.txt,0.016,0.01
ECDSA,DER,1MB.txt,0.016,0.012
ECDSA,DER,1MB.txt,0.012,0.01
ECDSA,DER,1MB.txt,0.009,0.009
ECDSA,DER,1MB.txt,0.01,0.011
ECDSA,DER,1MB.txt,0.02,0.01
ECDSA,DER,1MB.txt,0.009,0.009
ECDSA,DER,1MB.txt,0.009,0.011
ECDSA,DER,1MB.txt,0.009,0.017
ECDSA,DER,1MB.txt,0.018,0.015
ECDSA,DER,1MB.txt,0.013,0.015
ECDSA,DER,1MB.txt,0.018,0.014
ECDSA,DER,1MB.txt,0.012,0.013
ECDSA,DER,1MB.txt,0.036,0.018
ECDSA,DER,1MB.txt,0.027,0.017
ECDSA,PEM,1MB.txt,0.014,0.011
ECDSA,PEM,1MB.txt,0.016,0.014
ECDSA,PEM,1MB.txt,0.019,0.03
ECDSA,PEM,1MB.txt,0.013,0.014
ECDSA,PEM,1MB.txt,0.011,0.024
ECDSA,PEM,1MB.txt,0.01,0.016
ECDSA,PEM,1MB.txt,0.009,0.014
ECDSA,PEM,1MB.txt,0.015,0.011
ECDSA,PEM,1MB.txt,0.021,0.02
ECDSA,PEM,1MB.txt,0.013,0.01
ECDSA,PEM,1MB.txt,0.015,0.017
ECDSA,PEM,1MB.txt,0.015,0.009
ECDSA,PEM,1MB.txt,0.012,0.013
ECDSA,PEM,1MB.txt,0.011,0.01
ECDSA,PEM,1MB.txt,0.013,0.012
ECDSA,PEM,1MB.txt,0.014,0.009
ECDSA,PEM,1MB.txt,0.022,0.01
ECDSA,PEM,1MB.txt,0.016,0.01
ECDSA,PEM,1MB.txt,0.012,0.013
ECDSA,PEM,1MB.txt,0.014,0.011
ECDSA,PEM,1MB.txt,0.013,0.011
ECDSA,PEM,1MB.txt,0.013,0.012
ECDSA,PEM,1MB.txt,0.015,0.014
ECDSA,PEM,1MB.txt,0.022,0.01
ECDSA,PEM,1MB.txt,0.013,0.016
ECDSA,PEM,1MB.txt,0.013,0.011
ECDSA,PEM,1MB.txt,0.02,0.009
ECDSA,PEM,1MB.txt,0.014,0.01
ECDSA,PEM,1MB.txt,0.015,0.015
ECDSA,PEM,1MB.txt,0.015,0.011
ECDSA,PEM,1MB.txt,0.014,0.011
ECDSA,PEM,1MB.txt,0.009,0.009
ECDSA,PEM,1MB.txt,0.016,0.011
ECDSA,PEM,1MB.txt,0.011,0.013
ECDSA,PEM,1MB.txt,0.011,0.012
ECDSA,PEM,1MB.txt,0.014,0.011
ECDSA,PEM,1MB.txt,0.014,0.011
ECDSA,PEM,1MB.txt,0.013,0.01
ECDSA,PEM,1MB.txt,0.014,0.012
ECDSA,PEM,1MB.txt,0.014,0.011
ECDSA,PEM,1MB.txt,0.013,0.01
ECDSA,PEM,1MB.txt,0.013,0.01
ECDSA,PEM,1MB.txt,0.017,0.011
ECDSA,PEM,1MB.txt,0.015,0.011
ECDSA,PEM,1MB.txt,0.011,0.016
ECDSA,PEM,1MB.txt,0.013,0.012
ECDSA,PEM,1MB.txt,0.013,0.014
ECDSA,PEM,1MB.txt,0.012,0.01
ECDSA,PEM,1MB.txt,0.013,0.014
ECDSA,PEM,1MB.txt,0.014,0.013
ECDSA,PEM,1MB.txt,0.013,0.017
ECDSA,PEM,1MB.txt,0.019,0.011
ECDSA,PEM,1MB.txt,0.013,0.011
ECDSA,PEM,1MB.txt,0.011,0.013
ECDSA,PEM,1MB.txt,0.012,0.011
ECDSA,PEM,1MB.txt,0.013,0.012
ECDSA,PEM,1MB.txt,0.017,0.012
ECDSA,PEM,1MB.txt,0.011,0.016
ECDSA,PEM,1MB.txt,0.012,0.01
ECDSA,PEM,1MB.txt,0.015,0.013
ECDSA,PEM,1MB.txt,0.012,0.011
ECDSA,PEM,1MB.txt,0.013,0.011
ECDSA,PEM,1MB.txt,0.017,0.011
ECDSA,PEM,1MB.txt,0.014,0.01
ECDSA,PEM,1MB.txt,0.014,0.016
ECDSA,PEM,1MB.txt,0.012,0.012
ECDSA,PEM,1MB.txt,0.012,0.014
ECDSA,PEM,1MB.txt,0.014,0.01
ECDSA,PEM,1MB.txt,0.011,0.022
ECDSA,PEM,1MB.txt,0.01,0.018
ECDSA,PEM,1MB.txt,0.014,0.009
ECDSA,PEM,1MB.txt,0.019,0.01
