Algorithm,Format,File,SignTime,VerifyTime
ECDSA,DER,1MB.txt,0.03,0.017
ECDSA,DER,1MB.txt,0.019,0.015
ECDSA,DER,1MB.txt,0.02,0.017
ECDSA,DER,1MB.txt,0.016,0.017
ECDSA,DER,1MB.txt,0.017,0.017
ECDSA,DER,1MB.txt,0.014,0.014
ECDSA,DER,1MB.txt,0.014,0.015
ECDSA,DER,1MB.txt,0.015,0.015
ECDSA,DER,1MB.txt,0.014,0.016
ECDSA,DER,1MB.txt,0.014,0.016
ECDSA,DER,1MB.txt,0.018,0.018
ECDSA,DER,1MB.txt,0.019,0.019
ECDSA,DER,1MB.txt,0.015,0.013
ECDSA,DER,1MB.txt,0.015,0.014
ECDSA,DER,1MB.txt,0.017,0.017
ECDSA,DER,1MB.txt,0.017,0.015
ECDSA,DER,1MB.txt,0.018,0.018
ECDSA,DER,1MB.txt,0.016,0.017
ECDSA,DER,1MB.txt,0.015,0.015
ECDSA,DER,1MB.txt,0.016,0.018
ECDSA,DER,1MB.txt,0.016,0.018
ECDSA,DER,1MB.txt,0.016,0.012
ECDSA,DER,1MB.txt,0.018,0.018
ECDSA,DER,1MB.txt,0.016,0.017
ECDSA,DER,1MB.txt,0.017,0.014
ECDSA,DER,1MB.txt,0.02,0.017
ECDSA,DER,1MB.txt,0.016,0.015
ECDSA,DER,1MB.txt,0.017,0.014
ECDSA,DER,1MB.txt,0.016,0.017
ECDSA,DER,1MB.txt,0.015,0.019
ECDSA,DER,1MB.txt,0.018,0.015
ECDSA,DER,1MB.txt,0.015,0.015
ECDSA,DER,1MB.txt,0.017,0.015
ECDSA,DER,1MB.txt,0.016,0.018
ECDSA,DER,1MB.txt,0.019,0.014
ECDSA,DER,1MB.txt,0.017,0.013
ECDSA,DER,1MB.txt,0.017,0.012
ECDSA,DER,1MB.txt,0.013,0.013
ECDSA,DER,1MB.txt,0.014,0.011
ECDSA,DER,1MB.txt,0.01,0.013
ECDSA,DER,1MB.txt,0.014,0.012
ECDSA,DER,1MB.txt,0.01,0.01
ECDSA,DER,1MB.txt,0.011,0.009
ECDSA,DER,1MB.txt,0.011,0.013
ECDSA,DER,1MB.txt,0.012,0.01
ECDSA,DER,1MB.txt,0.011,0.013
ECDSA,DER,1MB.txt,0.011,0.01
ECDSA,DER,1MB.txt,0.014,0.014
ECDSA,DER,1MB.txt,0.013,0.011
ECDSA,DER,1MB.txt,0.01,0.01
