Algorithm,Format,File,SignTime,VerifyTime
ECDSA,DER,1MB.txt,0.007,0.004
ECDSA,DER,1MB.txt,0.005,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.005,0.004
ECDSA,DER,1MB.txt,0.012,0.006
ECDSA,DER,1MB.txt,0.008,0.004
ECDSA,DER,1MB.txt,0.004,0.005
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.005
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.005,0.004
ECDSA,DER,1MB.txt,0.005,0.005
ECDSA,DER,1MB.txt,0.004,0.005
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.005,0.004
ECDSA,DER,1MB.txt,0.004,0.005
ECDSA,DER,1MB.txt,0.004,0.005
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.005,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
ECDSA,DER,1MB.txt,0.004,0.004
