Algorithm,Format,File,SignTime,VerifyTime
RSASS-PSS,DER,1MB.txt,0.163,0.007
RSASS-PSS,DER,1MB.txt,0.014,0.007
RSASS-PSS,DER,1MB.txt,0.021,0.009
RSASS-PSS,DER,1MB.txt,0.017,0.009
RSASS-PSS,DER,1MB.txt,0.016,0.013
RSASS-PSS,DER,1MB.txt,0.027,0.013
RSASS-PSS,DER,1MB.txt,0.02,0.01
RSASS-PSS,DER,1MB.txt,0.019,0.008
RSASS-PSS,DER,1MB.txt,0.015,0.01
RSASS-PSS,DER,1MB.txt,0.018,0.009
RSASS-PSS,DER,1MB.txt,0.018,0.01
RSASS-PSS,DER,1MB.txt,0.016,0.012
RSASS-PSS,DER,1MB.txt,0.018,0.01
RSASS-PSS,DER,1MB.txt,0.015,0.011
RSASS-PSS,DER,1MB.txt,0.015,0.008
RSASS-PSS,DER,1MB.txt,0.019,0.012
RSASS-PSS,DER,1MB.txt,0.019,0.008
RSASS-PSS,DER,1MB.txt,0.015,0.01
RSASS-PSS,DER,1MB.txt,0.015,0.011
RSASS-PSS,DER,1MB.txt,0.013,0.008
RSASS-PSS,DER,1MB.txt,0.013,0.009
RSASS-PSS,DER,1MB.txt,0.016,0.018
RSASS-PSS,DER,1MB.txt,0.016,0.013
RSASS-PSS,DER,1MB.txt,0.017,0.011
RSASS-PSS,DER,1MB.txt,0.021,0.015
RSASS-PSS,DER,1MB.txt,0.014,0.011
RSASS-PSS,DER,1MB.txt,0.019,0.012
RSASS-PSS,DER,1MB.txt,0.013,0.01
RSASS-PSS,DER,1MB.txt,0.016,0.014
RSASS-PSS,DER,1MB.txt,0.02,0.009
RSASS-PSS,DER,1MB.txt,0.014,0.009
RSASS-PSS,DER,1MB.txt,0.016,0.01
RSASS-PSS,DER,1MB.txt,0.013,0.009
RSASS-PSS,DER,1MB.txt,0.014,0.009
RSASS-PSS,DER,1MB.txt,0.018,0.009
RSASS-PSS,DER,1MB.txt,0.02,0.008
RSASS-PSS,DER,1MB.txt,0.018,0.01
RSASS-PSS,DER,1MB.txt,0.015,0.008
RSASS-PSS,DER,1MB.txt,0.016,0.011
RSASS-PSS,DER,1MB.txt,0.02,0.011
RSASS-PSS,DER,1MB.txt,0.016,0.014
RSASS-PSS,DER,1MB.txt,0.017,0.008
RSASS-PSS,DER,1MB.txt,0.02,0.01
RSASS-PSS,DER,1MB.txt,0.015,0.01
RSASS-PSS,DER,1MB.txt,0.012,0.008
RSASS-PSS,DER,1MB.txt,0.018,0.022
RSASS-PSS,DER,1MB.txt,0.022,0.011
RSASS-PSS,DER,1MB.txt,0.028,0.013
RSASS-PSS,DER,1MB.txt,0.018,0.008
RSASS-PSS,DER,1MB.txt,0.014,0.01
RSASS-PSS,DER,1MB.txt,0.015,0.01
RSASS-PSS,DER,1MB.txt,0.019,0.01
RSASS-PSS,DER,1MB.txt,0.019,0.008
RSASS-PSS,DER,1MB.txt,0.017,0.01
RSASS-PSS,DER,1MB.txt,0.017,0.01
