Algorithm,Format,File,SignTime,VerifyTime
RSASS-PSS,DER,1MB.txt,0.027,0.006
RSASS-PSS,DER,1MB.txt,0.014,0.008
RSASS-PSS,DER,1MB.txt,0.016,0.009
RSASS-PSS,DER,1MB.txt,0.016,0.007
RSASS-PSS,DER,1MB.txt,0.013,0.007
RSASS-PSS,DER,1MB.txt,0.021,0.007
RSASS-PSS,DER,1MB.txt,0.013,0.006
RSASS-PSS,DER,1MB.txt,0.016,0.006
RSASS-PSS,DER,1MB.txt,0.014,0.007
RSASS-PSS,DER,1MB.txt,0.013,0.006
RSASS-PSS,DER,1MB.txt,0.016,0.006
RSASS-PSS,DER,1MB.txt,0.013,0.006
RSASS-PSS,DER,1MB.txt,0.014,0.008
RSASS-PSS,DER,1MB.txt,0.016,0.007
RSASS-PSS,DER,1MB.txt,0.015,0.007
RSASS-PSS,DER,1MB.txt,0.013,0.006
RSASS-PSS,DER,1MB.txt,0.017,0.008
RSASS-PSS,DER,1MB.txt,0.014,0.01
RSASS-PSS,DER,1MB.txt,0.013,0.006
RSASS-PSS,DER,1MB.txt,0.014,0.008
RSASS-PSS,DER,1MB.txt,0.013,0.007
RSASS-PSS,DER,1MB.txt,0.013,0.006
RSASS-PSS,DER,1MB.txt,0.013,0.008
RSASS-PSS,DER,1MB.txt,0.016,0.006
RSASS-PSS,DER,1MB.txt,0.014,0.007
RSASS-PSS,DER,1MB.txt,0.014,0.007
RSASS-PSS,DER,1MB.txt,0.016,0.009
RSASS-PSS,DER,1MB.txt,0.017,0.007
RSASS-PSS,DER,1MB.txt,0.014,0.006
RSASS-PSS,DER,1MB.txt,0.013,0.006
RSASS-PSS,DER,1MB.txt,0.014,0.006
RSASS-PSS,DER,1MB.txt,0.013,0.006
RSASS-PSS,DER,1MB.txt,0.018,0.007
RSASS-PSS,DER,1MB.txt,0.014,0.007
RSASS-PSS,DER,1MB.txt,0.014,0.006
RSASS-PSS,DER,1MB.txt,0.018,0.007
RSASS-PSS,DER,1MB.txt,0.015,0.009
RSASS-PSS,DER,1MB.txt,0.016,0.008
RSASS-PSS,DER,1MB.txt,0.015,0.007
RSASS-PSS,DER,1MB.txt,0.014,0.007
RSASS-PSS,DER,1MB.txt,0.046,0.01
RSASS-PSS,DER,1MB.txt,0.015,0.006
RSASS-PSS,DER,1MB.txt,0.013,0.006
RSASS-PSS,DER,1MB.txt,0.013,0.006
RSASS-PSS,DER,1MB.txt,0.016,0.007
RSASS-PSS,DER,1MB.txt,0.016,0.007
RSASS-PSS,DER,1MB.txt,0.013,0.007
RSASS-PSS,DER,1MB.txt,0.016,0.008
RSASS-PSS,DER,1MB.txt,0.014,0.007
RSASS-PSS,DER,1MB.txt,0.016,0.007
RSASS-PSS,DER,1MB.txt,0.019,0.006
RSASS-PSS,DER,1MB.txt,0.014,0.009
RSASS-PSS,DER,1MB.txt,0.013,0.007
RSASS-PSS,DER,1MB.txt,0.013,0.006
RSASS-PSS,DER,1MB.txt,0.014,0.007
RSASS-PSS,DER,1MB.txt,0.013,0.015
RSASS-PSS,DER,1MB.txt,0.014,0.006
RSASS-PSS,DER,1MB.txt,0.014,0.007
RSASS-PSS,DER,1MB.txt,0.014,0.006
RSASS-PSS,DER,1MB.txt,0.016,0.007
RSASS-PSS,DER,1MB.txt,0.017,0.007
RSASS-PSS,DER,1MB.txt,0.014,0.007
RSASS-PSS,DER,1MB.txt,0.016,0.007
RSASS-PSS,DER,1MB.txt,0.013,0.008
RSASS-PSS,DER,1MB.txt,0.014,0.007
RSASS-PSS,DER,1MB.txt,0.015,0.007
RSASS-PSS,DER,1MB.txt,0.014,0.016
RSASS-PSS,DER,1MB.txt,0.013,0.006
RSASS-PSS,DER,1MB.txt,0.014,0.007
RSASS-PSS,DER,1MB.txt,0.017,0.007
RSASS-PSS,DER,1MB.txt,0.015,0.009
RSASS-PSS,DER,1MB.txt,0.016,0.009
RSASS-PSS,DER,1MB.txt,0.016,0.006
RSASS-PSS,DER,1MB.txt,0.014,0.009
RSASS-PSS,DER,1MB.txt,0.014,0.007
RSASS-PSS,DER,1MB.txt,0.014,0.007
RSASS-PSS,DER,1MB.txt,0.014,0.008
RSASS-PSS,DER,1MB.txt,0.016,0.006
RSASS-PSS,DER,1MB.txt,0.016,0.006
RSASS-PSS,DER,1MB.txt,0.015,0.009
RSASS-PSS,DER,1MB.txt,0.015,0.006
RSASS-PSS,DER,1MB.txt,0.016,0.006
RSASS-PSS,DER,1MB.txt,0.015,0.007
RSASS-PSS,DER,1MB.txt,0.014,0.008
RSASS-PSS,DER,1MB.txt,0.014,0.008
RSASS-PSS,DER,1MB.txt,0.014,0.009
RSASS-PSS,DER,1MB.txt,0.015,0.008
RSASS-PSS,DER,1MB.txt,0.015,0.006
RSASS-PSS,DER,1MB.txt,0.014,0.007
RSASS-PSS,DER,1MB.txt,0.014,0.007
RSASS-PSS,DER,1MB.txt,0.013,0.006
RSASS-PSS,DER,1MB.txt,0.013,0.015
RSASS-PSS,DER,1MB.txt,0.013,0.006
RSASS-PSS,DER,1MB.txt,0.015,0.006
RSASS-PSS,DER,1MB.txt,0.014,0.009
RSASS-PSS,DER,1MB.txt,0.013,0.007
RSASS-PSS,DER,1MB.txt,0.018,0.006
RSASS-PSS,DER,1MB.txt,0.013,0.006
RSASS-PSS,DER,1MB.txt,0.015,0.006
RSASS-PSS,DER,1MB.txt,0.013,0.006
RSASS-PSS,PEM,1MB.txt,0.017,0.008
RSASS-PSS,PEM,1MB.txt,0.015,0.006
RSASS-PSS,PEM,1MB.txt,0.015,0.009
RSASS-PSS,PEM,1MB.txt,0.015,0.007
RSASS-PSS,PEM,1MB.txt,0.013,0.009
RSASS-PSS,PEM,1MB.txt,0.014,0.009
RSASS-PSS,PEM,1MB.txt,0.013,0.007
RSASS-PSS,PEM,1MB.txt,0.013,0.006
RSASS-PSS,PEM,1MB.txt,0.013,0.007
RSASS-PSS,PEM,1MB.txt,0.017,0.006
RSASS-PSS,PEM,1MB.txt,0.013,0.01
RSASS-PSS,PEM,1MB.txt,0.014,0.007
RSASS-PSS,PEM,1MB.txt,0.014,0.006
RSASS-PSS,PEM,1MB.txt,0.014,0.008
RSASS-PSS,PEM,1MB.txt,0.014,0.014
RSASS-PSS,PEM,1MB.txt,0.015,0.006
RSASS-PSS,PEM,1MB.txt,0.013,0.006
RSASS-PSS,PEM,1MB.txt,0.016,0.008
