Algorithm,Format,File,SignTime,VerifyTime
ECDSA,DER,1MB.txt,0.007,0.003
ECDSA,DER,1MB.txt,0.006,0.004
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.004
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.005
ECDSA,DER,1MB.txt,0.007,0.003
ECDSA,DER,1MB.txt,0.006,0.004
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.03,0.004
ECDSA,DER,1MB.txt,0.006,0.004
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.007,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.005
ECDSA,DER,1MB.txt,0.008,0.003
ECDSA,DER,1MB.txt,0.006,0.004
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.006
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.007,0.006
ECDSA,DER,1MB.txt,0.007,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.007,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,DER,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.004
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.007,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.005
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.011,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.026,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.017,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.007,0.003
ECDSA,PEM,1MB.txt,0.006,0.004
ECDSA,PEM,1MB.txt,0.006,0.004
ECDSA,PEM,1MB.txt,0.009,0.004
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.004
ECDSA,PEM,1MB.txt,0.006,0.004
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.008,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.007,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,PEM,1MB.txt,0.006,0.003
ECDSA,DER,16MB.txt,0.061,0.052
ECDSA,DER,16MB.txt,0.054,0.051
ECDSA,DER,16MB.txt,0.054,0.052
ECDSA,DER,16MB.txt,0.061,0.054
ECDSA,DER,16MB.txt,0.068,0.052
ECDSA,DER,16MB.txt,0.058,0.055
ECDSA,DER,16MB.txt,0.058,0.052
ECDSA,DER,16MB.txt,0.06,0.053
ECDSA,DER,16MB.txt,0.055,0.051
ECDSA,DER,16MB.txt,0.059,0.051
ECDSA,DER,16MB.txt,0.054,0.051
ECDSA,DER,16MB.txt,0.06,0.055
ECDSA,DER,16MB.txt,0.057,0.059
ECDSA,DER,16MB.txt,0.056,0.062
ECDSA,DER,16MB.txt,0.056,0.051
ECDSA,DER,16MB.txt,0.054,0.051
ECDSA,DER,16MB.txt,0.055,0.051
ECDSA,DER,16MB.txt,0.054,0.051
ECDSA,DER,16MB.txt,0.054,0.051
ECDSA,DER,16MB.txt,0.063,0.056
ECDSA,DER,16MB.txt,0.059,0.053
ECDSA,DER,16MB.txt,0.055,0.063
ECDSA,DER,16MB.txt,0.054,0.057
ECDSA,DER,16MB.txt,0.054,0.052
ECDSA,DER,16MB.txt,0.054,0.051
ECDSA,DER,16MB.txt,0.054,0.051
ECDSA,DER,16MB.txt,0.054,0.051
ECDSA,DER,16MB.txt,0.055,0.054
ECDSA,DER,16MB.txt,0.055,0.052
ECDSA,DER,16MB.txt,0.064,0.052
ECDSA,DER,16MB.txt,0.054,0.052
ECDSA,DER,16MB.txt,0.054,0.052
ECDSA,DER,16MB.txt,0.054,0.051
ECDSA,DER,16MB.txt,0.054,0.058
ECDSA,DER,16MB.txt,0.054,0.051
ECDSA,DER,16MB.txt,0.054,0.051
ECDSA,DER,16MB.txt,0.055,0.054
ECDSA,DER,16MB.txt,0.056,0.052
ECDSA,DER,16MB.txt,0.054,0.052
ECDSA,DER,16MB.txt,0.054,0.051
